origin,tipo,adr
Portugal,work+rest,132.5
International,work+rest,98.02
Portugal,work+rest,126.0
Portugal,work,173.0
Portugal,work,249.0
Portugal,work+rest,186.5
International,work+rest,95.0
Portugal,work+rest,241.5
International,work+rest,177.0
Portugal,work+rest,153.73
Portugal,work+rest,115.0
Portugal,work+rest,127.03
Portugal,work+rest,128.25
Portugal,work+rest,128.25
Portugal,work+rest,115.0
International,rest,135.0
Portugal,rest,167.0
International,rest,135.0
International,rest,124.5
Portugal,weekend,98.0
Portugal,weekend,98.0
International,weekend,135.0
Portugal,weekend,88.2
Portugal,weekend,120.6
Portugal,weekend,154.5
Portugal,work+rest,145.0
Portugal,work+rest,92.0
Portugal,work+rest,154.0
Portugal,work+rest,115.0
Portugal,work+rest,110.53
Portugal,work+rest,158.5
International,work+rest,131.37
Portugal,work+rest,117.71
International,work+rest,123.0
Portugal,work+rest,158.5
International,work+rest,117.84
Portugal,work+rest,154.0
International,work+rest,116.85
Portugal,work+rest,129.16
Portugal,work+rest,214.0
Portugal,work+rest,115.0
International,work+rest,123.0
International,work+rest,123.0
Portugal,package,195.0
International,rest,135.2
International,rest,123.0
International,work+rest,130.5
Portugal,weekend,123.0
Portugal,work+rest,179.1
Portugal,work+rest,115.0
Portugal,work+rest,115.0
International,work+rest,103.5
Portugal,work+rest,157.0
Portugal,work+rest,135.0
International,work+rest,111.65
Portugal,work+rest,135.0
Portugal,work+rest,195.0
International,work+rest,104.0
Portugal,work+rest,135.0
Portugal,work+rest,214.0
Portugal,work+rest,133.17
Portugal,work+rest,141.33
International,work+rest,121.01
Portugal,work+rest,240.64
International,work+rest,167.5
Portugal,work+rest,152.43
International,work+rest,148.34
International,work+rest,167.0
Portugal,work+rest,172.93
Portugal,work+rest,179.1
Portugal,work+rest,192.5
Portugal,rest,92.0
Portugal,rest,111.2
Portugal,rest,141.6
Portugal,rest,141.6
Portugal,rest,141.6
Portugal,rest,200.0
Portugal,rest,200.0
Portugal,work,157.0
Portugal,work,99.5
Portugal,work,115.0
Portugal,work,195.0
Portugal,work,103.5
Portugal,work,207.0
Portugal,work+rest,163.33
International,work+rest,151.86
International,work+rest,95.57
Portugal,rest,112.05
International,rest,160.0
International,rest,103.18
International,work,153.0
Portugal,work,119.75
Portugal,work,135.0
International,work,167.69
Portugal,work,195.0
Portugal,work,135.0
Portugal,work+rest,178.4
Portugal,work,154.0
Portugal,work,134.0
Portugal,work,112.0
International,work,194.0
Portugal,work,153.0
Portugal,work,135.0
International,work,184.0
Portugal,work+rest,210.0
Portugal,work+rest,139.0
International,work+rest,101.46
Portugal,work+rest,145.0
Portugal,work+rest,173.0
International,rest,217.05
International,work,164.0
International,work,173.0
Portugal,work,112.5
International,work,153.0
International,work,173.0
International,work,153.0
Portugal,work,134.0
International,work,153.0
Portugal,work,233.0
International,work,154.0
International,work,173.0
Portugal,work,135.0
Portugal,work,132.5
International,work+rest,222.67
Portugal,work,135.0
International,work,107.0
Portugal,work+rest,127.0
Portugal,work+rest,135.0
International,work+rest,149.7
Portugal,work+rest,161.25
International,work+rest,107.0
International,work+rest,75.44
International,work+rest,75.44
Portugal,work+rest,115.0
Portugal,work+rest,159.2
Portugal,work+rest,163.29
Portugal,rest,210.0
Portugal,rest,154.0
International,rest,166.0
International,rest,132.5
Portugal,rest,107.0
Portugal,rest,121.98
Portugal,work+rest,133.0
International,work,107.0
International,work,117.81
International,work,107.0
Portugal,work,120.6
Portugal,work+rest,147.0
Portugal,work+rest,153.0
Portugal,work+rest,153.0
Portugal,work+rest,134.0
International,work+rest,153.0
Portugal,work+rest,118.0
International,work+rest,134.0
Portugal,work+rest,135.0
International,work+rest,158.77
International,work+rest,134.0
Portugal,work+rest,134.0
Portugal,work+rest,142.03
Portugal,work+rest,240.0
International,work+rest,134.0
Portugal,work+rest,134.0
Portugal,work+rest,147.0
Portugal,work+rest,176.0
Portugal,work+rest,120.6
Portugal,work+rest,166.0
Portugal,work+rest,134.0
Portugal,work+rest,147.0
Portugal,work+rest,167.0
Portugal,work+rest,107.2
Portugal,rest,131.63
International,rest,233.05
International,rest,90.12
Portugal,rest,120.6
Portugal,rest,125.0
Portugal,rest,154.0
Portugal,rest,120.6
International,rest,114.25
Portugal,rest,107.0
Portugal,work+rest,88.55
Portugal,work+rest,149.0
Portugal,work+rest,195.0
Portugal,work+rest,164.0
Portugal,work+rest,154.0
Portugal,work+rest,120.6
International,work+rest,103.5
International,work+rest,115.0
Portugal,work+rest,95.02
Portugal,work+rest,132.5
Portugal,work+rest,209.0
Portugal,work+rest,95.02
Portugal,work+rest,132.5
International,work+rest,180.0
International,weekend,103.18
Portugal,work+rest,174.01
Portugal,package,133.0
Portugal,package,133.0
International,work+rest,107.2
Portugal,work+rest,210.0
Portugal,work+rest,145.0
Portugal,work+rest,195.0
Portugal,work+rest,124.2
Portugal,work+rest,167.0
Portugal,work+rest,145.0
Portugal,work+rest,166.0
International,work+rest,115.0
Portugal,work+rest,166.0
Portugal,work+rest,120.6
International,work+rest,162.0
Portugal,work+rest,153.0
International,work+rest,133.2
Portugal,work+rest,134.0
International,work+rest,107.0
Portugal,work+rest,145.0
International,work+rest,145.0
Portugal,work+rest,107.0
Portugal,work+rest,167.2
Portugal,work+rest,134.0
Portugal,work+rest,130.0
Portugal,work+rest,164.0
Portugal,work+rest,149.0
Portugal,work+rest,154.0
Portugal,work+rest,195.0
Portugal,work+rest,134.0
Portugal,work+rest,107.2
Portugal,work+rest,164.0
Portugal,work+rest,183.45
International,work+rest,159.6
Portugal,work+rest,120.6
Portugal,work+rest,164.0
Portugal,work+rest,219.43
Portugal,work+rest,134.0
Portugal,work+rest,164.0
International,work+rest,107.2
International,work+rest,102.72
International,work,114.85
International,work,114.85
Portugal,work,135.0
Portugal,work,195.0
Portugal,work,173.0
International,work,107.0
International,work,107.0
Portugal,work,164.0
Portugal,work,138.8
Portugal,work,154.0
International,work,135.0
International,work+rest,103.18
Portugal,rest,115.5
International,rest,90.95
Portugal,work,108.54
Portugal,work,146.0
Portugal,work+rest,165.4
International,work+rest,134.0
Portugal,work+rest,133.0
Portugal,work+rest,240.0
Portugal,work+rest,157.0
Portugal,work,188.0
Portugal,work+rest,133.0
Portugal,work+rest,145.0
International,work+rest,134.0
Portugal,work+rest,134.0
Portugal,work+rest,186.0
International,work+rest,90.95
Portugal,work+rest,141.65
Portugal,work+rest,99.24
International,work+rest,108.06
Portugal,work+rest,90.95
Portugal,rest,148.63
Portugal,work,173.0
International,work,107.0
Portugal,work,114.0
Portugal,work,153.0
International,work,153.0
Portugal,work,250.33
Portugal,work,146.67
Portugal,work,154.0
Portugal,work,120.6
International,work,280.74
International,work+rest,193.0
Portugal,work,146.67
Portugal,work,154.0
Portugal,work+rest,154.5
Portugal,work+rest,120.6
Portugal,work+rest,137.8
Portugal,rest,160.0
International,rest,125.89
International,rest,125.89
Portugal,work+rest,126.71
Portugal,work,188.0
Portugal,work,153.0
Portugal,work,173.0
Portugal,work,173.0
Portugal,work,120.0
Portugal,work,154.8
Portugal,work,192.0
Portugal,work,153.0
Portugal,work,120.6
Portugal,work,192.0
Portugal,work,120.6
Portugal,work,164.0
Portugal,work,219.5
Portugal,work,192.5
Portugal,work+rest,149.7
Portugal,work+rest,111.92
Portugal,work+rest,120.6
Portugal,work+rest,149.7
Portugal,work+rest,173.0
Portugal,work+rest,112.0
International,work+rest,57.6
Portugal,work+rest,214.0
Portugal,work+rest,172.0
International,work+rest,157.8
International,work+rest,170.33
International,rest,119.25
Portugal,work+rest,96.3
Portugal,work+rest,118.06
Portugal,work+rest,118.06
Portugal,work,154.0
Portugal,work,202.0
Portugal,work,134.0
Portugal,work,202.0
Portugal,work,252.0
Portugal,work,233.0
Portugal,work,211.0
Portugal,work,211.0
Portugal,work+rest,237.0
International,work+rest,188.29
Portugal,work+rest,120.6
Portugal,work+rest,177.14
Portugal,work+rest,222.14
Portugal,work+rest,127.82
Portugal,work+rest,194.14
Portugal,work+rest,120.6
Portugal,work+rest,144.53
Portugal,work+rest,185.0
Portugal,rest,96.3
Portugal,rest,193.13
Portugal,rest,210.78
Portugal,rest,169.0
Portugal,rest,174.7
Portugal,rest,135.53
Portugal,rest,172.0
Portugal,weekend,144.0
Portugal,weekend,162.5
Portugal,work+rest,209.6
Portugal,work+rest,209.6
Portugal,work+rest,195.5
Portugal,work+rest,186.0
Portugal,work+rest,163.5
Portugal,work+rest,180.28
International,work+rest,174.76
International,package,116.85
Portugal,work+rest,159.0
Portugal,rest,104.55
Portugal,weekend,144.76
Portugal,work+rest,205.0
Portugal,work+rest,123.0
Portugal,work+rest,173.0
Portugal,work+rest,220.55
International,work+rest,162.14
Portugal,work+rest,119.7
International,work+rest,77.54
Portugal,work+rest,120.6
Portugal,work+rest,153.0
Portugal,work,172.0
Portugal,work,221.0
Portugal,work,153.0
Portugal,work,230.5
Portugal,work,230.5
Portugal,work,211.0
International,work,241.0
Portugal,work+rest,211.0
International,work+rest,90.95
International,work+rest,188.29
Portugal,work+rest,90.95
International,rest,187.8
Portugal,work,172.0
International,work,171.9
Portugal,work,200.0
Portugal,work,149.4
Portugal,work,154.0
International,work,148.25
Portugal,work,172.0
Portugal,work+rest,183.0
Portugal,work+rest,242.6
Portugal,work,172.0
Portugal,work+rest,168.71
Portugal,rest,166.0
Portugal,work,112.0
International,work,172.0
Portugal,work,120.6
Portugal,work,126.0
International,work,268.0
Portugal,work+rest,173.0
International,work+rest,149.2
Portugal,work+rest,217.2
Portugal,work+rest,239.3
International,work+rest,181.5
International,rest,154.0
International,rest,173.0
International,rest,181.9
Portugal,work,114.0
Portugal,work,267.0
International,work,226.0
Portugal,work,173.0
Portugal,work,211.0
International,work,191.0
Portugal,work+rest,173.0
Portugal,work+rest,173.0
Portugal,work+rest,277.5
Portugal,work+rest,134.0
Portugal,work+rest,153.0
Portugal,work+rest,186.0
International,work+rest,107.2
International,work+rest,221.0
Portugal,work+rest,202.0
Portugal,work+rest,169.0
Portugal,work+rest,133.5
Portugal,work+rest,154.38
Portugal,work+rest,154.38
Portugal,work+rest,205.0
International,rest,121.39
International,work,171.9
Portugal,work,164.0
Portugal,work+rest,134.0
International,work+rest,250.0
International,work+rest,208.0
Portugal,work+rest,181.0
Portugal,work+rest,172.0
International,work+rest,157.59
International,work+rest,211.75
International,work+rest,246.0
Portugal,work+rest,108.54
Portugal,work+rest,186.0
Portugal,work+rest,205.0
Portugal,work+rest,154.0
Portugal,work+rest,200.71
Portugal,work+rest,252.0
Portugal,work+rest,135.2
Portugal,work+rest,276.43
Portugal,work+rest,228.0
Portugal,work+rest,133.0
Portugal,work+rest,205.0
Portugal,work+rest,134.0
Portugal,work+rest,119.7
International,work+rest,90.95
Portugal,work+rest,138.0
Portugal,work+rest,134.0
Portugal,rest,173.0
International,rest,165.69
Portugal,weekend,195.0
Portugal,weekend,127.31
Portugal,weekend,134.0
Portugal,weekend,207.0
Portugal,weekend,211.5
International,work+rest,210.33
International,work+rest,211.0
International,work+rest,154.0
Portugal,work+rest,145.4
Portugal,work+rest,101.25
International,work+rest,179.38
Portugal,work+rest,166.0
Portugal,work+rest,202.0
Portugal,work+rest,172.0
International,work+rest,277.0
International,work+rest,104.0
Portugal,work+rest,133.0
Portugal,work+rest,214.0
International,work+rest,130.0
Portugal,work+rest,154.0
International,work+rest,106.4
Portugal,rest,133.0
Portugal,rest,120.0
Portugal,work+rest,254.0
Portugal,work+rest,192.0
International,work+rest,221.0
Portugal,work+rest,120.6
International,work+rest,211.0
Portugal,work+rest,147.6
International,work+rest,129.0
Portugal,work+rest,205.0
International,work+rest,147.07
Portugal,work+rest,107.2
Portugal,work+rest,179.1
Portugal,work+rest,164.65
Portugal,work+rest,200.0
Portugal,work+rest,134.0
Portugal,work+rest,233.0
Portugal,work+rest,190.0
Portugal,work+rest,196.0
Portugal,work+rest,185.57
Portugal,package,175.0
Portugal,package,175.0
International,rest,169.0
Portugal,work,134.0
Portugal,work,211.0
Portugal,work,134.0
Portugal,work,120.6
Portugal,work,120.6
Portugal,work,112.5
Portugal,work,164.0
Portugal,work,120.6
International,work,154.0
Portugal,work,207.0
Portugal,work,214.0
Portugal,work,186.0
Portugal,work,154.0
Portugal,work,162.3
Portugal,work,186.0
Portugal,work+rest,241.0
Portugal,work+rest,274.93
International,work+rest,156.73
Portugal,work+rest,156.73
Portugal,work,134.0
Portugal,work,134.0
Portugal,work+rest,211.0
Portugal,rest,200.7
International,rest,142.26
Portugal,rest,196.0
International,rest,129.41
Portugal,work+rest,98.02
Portugal,work+rest,120.6
Portugal,work,191.0
Portugal,work,191.0
Portugal,work,252.0
International,work,157.08
Portugal,work,258.33
Portugal,work,211.0
Portugal,work,211.0
Portugal,work+rest,133.21
Portugal,rest,173.5
Portugal,rest,90.95
International,rest,90.95
International,rest,90.95
Portugal,work+rest,134.0
Portugal,rest,120.6
International,work,172.0
International,work,184.45
International,work,158.0
Portugal,work,184.45
Portugal,work,120.6
Portugal,work,114.14
International,work,168.8
Portugal,work,178.33
International,work,255.0
Portugal,work,178.33
International,work+rest,196.0
International,work+rest,87.91
Portugal,work+rest,211.0
Portugal,work+rest,187.2
International,work+rest,154.0
Portugal,work+rest,243.0
Portugal,work+rest,222.2
Portugal,work+rest,243.0
Portugal,work+rest,178.2
Portugal,work+rest,107.2
International,work,203.0
Portugal,work,173.0
Portugal,work,172.0
Portugal,work,120.6
International,work,172.0
International,work,266.4
International,work,236.0
Portugal,work,271.0
Portugal,work,232.0
International,work,223.0
Portugal,work+rest,178.67
Portugal,work+rest,133.0
Portugal,work+rest,195.5
Portugal,work+rest,167.25
Portugal,work+rest,209.0
Portugal,work+rest,166.0
International,work+rest,195.8
Portugal,work+rest,229.0
Portugal,work+rest,160.0
Portugal,work+rest,266.0
International,work+rest,96.3
International,work+rest,107.0
Portugal,work+rest,262.0
Portugal,work+rest,182.5
Portugal,work+rest,157.0
Portugal,work+rest,234.0
International,work+rest,242.5
Portugal,work+rest,157.0
Portugal,work+rest,158.4
Portugal,work+rest,208.0
Portugal,work+rest,183.45
International,work+rest,131.2
Portugal,work+rest,133.0
Portugal,work+rest,135.0
Portugal,work+rest,133.0
Portugal,work+rest,248.0
Portugal,work+rest,209.2
International,work+rest,107.0
Portugal,work+rest,299.33
Portugal,work+rest,156.45
Portugal,work+rest,135.0
Portugal,work+rest,149.0
Portugal,work+rest,107.0
Portugal,work+rest,135.0
Portugal,work+rest,135.0
Portugal,work+rest,145.75
Portugal,work+rest,132.6
Portugal,work+rest,200.71
Portugal,work+rest,198.71
Portugal,work+rest,218.0
International,work+rest,101.65
Portugal,rest,186.0
Portugal,rest,160.0
Portugal,work+rest,188.71
Portugal,rest,107.0
Portugal,rest,181.94
Portugal,weekend,172.0
Portugal,weekend,172.0
Portugal,weekend,185.0
Portugal,weekend,172.0
Portugal,weekend,172.0
Portugal,weekend,184.45
International,weekend,195.0
Portugal,weekend,172.0
Portugal,weekend,172.0
International,weekend,153.0
Portugal,weekend,184.45
Portugal,weekend,184.45
Portugal,weekend,185.0
Portugal,weekend,108.54
Portugal,work+rest,154.0
Portugal,work+rest,248.0
Portugal,work+rest,150.53
Portugal,work+rest,150.53
Portugal,work+rest,154.0
Portugal,work+rest,223.99
Portugal,work+rest,154.0
Portugal,work+rest,154.0
Portugal,package,154.0
Portugal,package,214.0
Portugal,rest,96.3
Portugal,rest,175.79
Portugal,rest,134.0
Portugal,work+rest,134.0
Portugal,work+rest,183.0
Portugal,work+rest,149.4
Portugal,work+rest,165.11
Portugal,work+rest,209.4
Portugal,work+rest,134.0
Portugal,work+rest,225.9
International,work+rest,131.1
Portugal,work+rest,134.0
Portugal,work+rest,187.0
Portugal,work+rest,133.0
International,work+rest,101.65
Portugal,work+rest,133.0
Portugal,work+rest,120.0
Portugal,work+rest,133.0
Portugal,work+rest,133.0
Portugal,work+rest,133.0
Portugal,package,134.0
Portugal,rest,87.9
Portugal,work,202.0
Portugal,work,213.0
Portugal,work,172.55
Portugal,work,172.0
Portugal,work,172.0
Portugal,work,213.0
Portugal,work,179.0
Portugal,work,236.0
Portugal,work+rest,229.67
International,work+rest,135.2
Portugal,work+rest,121.5
Portugal,work+rest,96.3
Portugal,work+rest,96.3
