origin,adr
Portugal,174.01
Portugal,133.0
Portugal,133.0
International,107.2
Portugal,210.0
Portugal,145.0
Portugal,195.0
Portugal,124.2
Portugal,167.0
Portugal,145.0
Portugal,166.0
International,115.0
Portugal,166.0
Portugal,120.6
International,162.0
Portugal,153.0
International,133.2
Portugal,134.0
International,107.0
Portugal,145.0
International,145.0
Portugal,107.0
Portugal,167.2
Portugal,134.0
Portugal,130.0
Portugal,164.0
Portugal,149.0
Portugal,154.0
Portugal,195.0
Portugal,134.0
Portugal,107.2
Portugal,164.0
Portugal,183.45
International,159.6
Portugal,120.6
Portugal,164.0
Portugal,219.43
Portugal,134.0
Portugal,164.0
International,107.2
International,102.72
International,114.85
International,114.85
Portugal,135.0
Portugal,195.0
Portugal,173.0
International,107.0
International,107.0
Portugal,164.0
Portugal,138.8
Portugal,154.0
International,135.0
International,103.18
Portugal,115.5
International,90.95
Portugal,108.54
Portugal,146.0
Portugal,165.4
International,134.0
Portugal,133.0
Portugal,240.0
Portugal,157.0
Portugal,188.0
Portugal,133.0
Portugal,145.0
International,134.0
Portugal,134.0
Portugal,186.0
International,90.95
Portugal,141.65
Portugal,99.24
International,108.06
Portugal,90.95
Portugal,148.63
Portugal,173.0
International,107.0
Portugal,114.0
Portugal,153.0
International,153.0
Portugal,250.33
Portugal,146.67
Portugal,154.0
Portugal,120.6
International,280.74
International,193.0
Portugal,146.67
Portugal,154.0
Portugal,154.5
Portugal,120.6
Portugal,137.8
Portugal,160.0
International,125.89
International,125.89
Portugal,126.71
Portugal,188.0
Portugal,153.0
Portugal,173.0
Portugal,173.0
Portugal,120.0
Portugal,154.8
Portugal,192.0
Portugal,153.0
Portugal,120.6
Portugal,192.0
Portugal,120.6
Portugal,164.0
Portugal,219.5
Portugal,192.5
Portugal,149.7
Portugal,111.92
Portugal,120.6
Portugal,149.7
Portugal,173.0
Portugal,112.0
International,57.6
Portugal,214.0
Portugal,172.0
International,157.8
International,170.33
International,119.25
Portugal,96.3
Portugal,118.06
Portugal,118.06
Portugal,154.0
Portugal,202.0
Portugal,134.0
Portugal,202.0
Portugal,252.0
Portugal,233.0
Portugal,211.0
Portugal,211.0
Portugal,237.0
International,188.29
Portugal,120.6
Portugal,177.14
Portugal,222.14
Portugal,127.82
Portugal,194.14
Portugal,120.6
Portugal,144.53
Portugal,185.0
Portugal,96.3
Portugal,193.13
Portugal,210.78
Portugal,169.0
Portugal,174.7
Portugal,135.53
Portugal,172.0
Portugal,144.0
Portugal,162.5
Portugal,209.6
Portugal,209.6
Portugal,195.5
Portugal,186.0
Portugal,163.5
Portugal,180.28
International,174.76
International,116.85
Portugal,159.0
Portugal,104.55
Portugal,144.76
Portugal,205.0
Portugal,123.0
Portugal,173.0
Portugal,220.55
International,162.14
Portugal,119.7
International,77.54
Portugal,120.6
Portugal,153.0
Portugal,172.0
Portugal,221.0
Portugal,153.0
Portugal,230.5
Portugal,230.5
Portugal,211.0
International,241.0
Portugal,211.0
International,90.95
International,188.29
Portugal,90.95
International,187.8
Portugal,172.0
International,171.9
Portugal,200.0
Portugal,149.4
Portugal,154.0
International,148.25
Portugal,172.0
Portugal,183.0
Portugal,242.6
Portugal,172.0
Portugal,168.71
Portugal,166.0
Portugal,112.0
International,172.0
Portugal,120.6
Portugal,126.0
International,268.0
Portugal,173.0
International,149.2
Portugal,217.2
Portugal,239.3
International,181.5
International,154.0
International,173.0
International,181.9
Portugal,114.0
Portugal,267.0
International,226.0
Portugal,173.0
Portugal,211.0
International,191.0
Portugal,173.0
Portugal,173.0
Portugal,277.5
Portugal,134.0
Portugal,153.0
Portugal,186.0
International,107.2
International,221.0
Portugal,202.0
Portugal,169.0
Portugal,133.5
Portugal,154.38
Portugal,154.38
Portugal,205.0
International,121.39
International,171.9
Portugal,164.0
Portugal,134.0
International,250.0
International,208.0
Portugal,181.0
Portugal,172.0
International,157.59
International,211.75
International,246.0
Portugal,108.54
Portugal,186.0
Portugal,205.0
Portugal,154.0
Portugal,200.71
Portugal,252.0
Portugal,135.2
Portugal,276.43
Portugal,228.0
Portugal,133.0
Portugal,205.0
Portugal,134.0
Portugal,119.7
International,90.95
Portugal,138.0
Portugal,134.0
Portugal,173.0
International,165.69
Portugal,195.0
Portugal,127.31
Portugal,134.0
Portugal,207.0
Portugal,211.5
International,210.33
International,211.0
International,154.0
Portugal,145.4
Portugal,101.25
International,179.38
Portugal,166.0
Portugal,202.0
Portugal,172.0
International,277.0
International,104.0
Portugal,133.0
Portugal,214.0
International,130.0
Portugal,154.0
International,106.4
Portugal,133.0
Portugal,120.0
Portugal,254.0
Portugal,192.0
International,221.0
Portugal,120.6
International,211.0
Portugal,147.6
International,129.0
Portugal,205.0
International,147.07
Portugal,107.2
Portugal,179.1
Portugal,164.65
Portugal,200.0
Portugal,134.0
Portugal,233.0
Portugal,190.0
Portugal,196.0
Portugal,185.57
Portugal,175.0
Portugal,175.0
International,169.0
Portugal,134.0
Portugal,211.0
Portugal,134.0
Portugal,120.6
Portugal,120.6
Portugal,112.5
Portugal,164.0
Portugal,120.6
International,154.0
Portugal,207.0
Portugal,214.0
Portugal,186.0
Portugal,154.0
Portugal,162.3
Portugal,186.0
Portugal,241.0
Portugal,274.93
International,156.73
Portugal,156.73
Portugal,134.0
Portugal,134.0
Portugal,211.0
Portugal,200.7
International,142.26
Portugal,196.0
International,129.41
Portugal,98.02
Portugal,120.6
Portugal,191.0
Portugal,191.0
Portugal,252.0
International,157.08
Portugal,258.33
Portugal,211.0
Portugal,211.0
Portugal,133.21
Portugal,173.5
Portugal,90.95
International,90.95
International,90.95
Portugal,134.0
Portugal,120.6
International,172.0
International,184.45
International,158.0
Portugal,184.45
Portugal,120.6
Portugal,114.14
International,168.8
Portugal,178.33
International,255.0
Portugal,178.33
International,196.0
International,87.91
Portugal,211.0
Portugal,187.2
International,154.0
Portugal,243.0
Portugal,222.2
Portugal,243.0
Portugal,178.2
Portugal,107.2
International,203.0
Portugal,173.0
Portugal,172.0
Portugal,120.6
International,172.0
International,266.4
International,236.0
Portugal,271.0
Portugal,232.0
International,223.0
Portugal,178.67
Portugal,133.0
Portugal,195.5
Portugal,167.25
Portugal,209.0
Portugal,166.0
International,195.8
Portugal,229.0
Portugal,160.0
Portugal,266.0
International,96.3
International,107.0
Portugal,262.0
Portugal,182.5
Portugal,157.0
Portugal,234.0
International,242.5
Portugal,157.0
Portugal,158.4
Portugal,208.0
Portugal,183.45
International,131.2
Portugal,133.0
Portugal,135.0
Portugal,133.0
Portugal,248.0
Portugal,209.2
International,107.0
Portugal,299.33
Portugal,156.45
Portugal,135.0
Portugal,149.0
Portugal,107.0
Portugal,135.0
Portugal,135.0
Portugal,145.75
Portugal,132.6
Portugal,200.71
Portugal,198.71
Portugal,218.0
International,101.65
Portugal,186.0
Portugal,160.0
Portugal,188.71
Portugal,107.0
Portugal,181.94
Portugal,172.0
Portugal,172.0
Portugal,185.0
Portugal,172.0
Portugal,172.0
Portugal,184.45
International,195.0
Portugal,172.0
Portugal,172.0
International,153.0
Portugal,184.45
Portugal,184.45
Portugal,185.0
Portugal,108.54
Portugal,154.0
Portugal,248.0
Portugal,150.53
Portugal,150.53
Portugal,154.0
Portugal,223.99
Portugal,154.0
Portugal,154.0
Portugal,154.0
Portugal,214.0
Portugal,96.3
Portugal,175.79
Portugal,134.0
Portugal,134.0
Portugal,183.0
Portugal,149.4
Portugal,165.11
Portugal,209.4
Portugal,134.0
Portugal,225.9
International,131.1
Portugal,134.0
Portugal,187.0
Portugal,133.0
International,101.65
Portugal,133.0
Portugal,120.0
Portugal,133.0
Portugal,133.0
Portugal,133.0
Portugal,134.0
Portugal,87.9
Portugal,202.0
Portugal,213.0
Portugal,172.55
Portugal,172.0
Portugal,172.0
Portugal,213.0
Portugal,179.0
Portugal,236.0
Portugal,229.67
International,135.2
Portugal,121.5
Portugal,96.3
Portugal,96.3
Portugal,120.6
Portugal,176.64
International,179.86
Portugal,187.0
International,134.0
International,239.5
International,153.0
International,166.0
Portugal,186.25
International,192.0
International,120.6
International,220.4
Portugal,241.0
Portugal,241.0
Portugal,211.0
Portugal,134.0
Portugal,241.0
International,8.0
Portugal,196.0
Portugal,198.0
Portugal,158.5
International,200.0
International,107.0
International,163.23
Portugal,222.07
Portugal,229.0
Portugal,133.0
International,164.0
Portugal,176.8
International,134.0
International,163.35
International,171.9
International,171.9
Portugal,213.5
Portugal,125.0
Portugal,178.33
Portugal,176.75
International,123.0
International,134.0
International,146.0
Portugal,192.0
International,183.0
Portugal,236.0
Portugal,191.0
International,178.33
International,248.0
International,188.71
Portugal,123.04
International,260.71
International,222.0
International,174.71
Portugal,118.7
International,116.85
International,129.55
Portugal,172.0
Portugal,172.0
Portugal,164.0
Portugal,179.83
Portugal,172.0
Portugal,160.43
Portugal,149.0
Portugal,134.0
Portugal,146.3
International,161.26
Portugal,195.45
Portugal,133.0
Portugal,186.25
Portugal,162.29
Portugal,221.43
Portugal,177.57
Portugal,133.0
Portugal,178.0
Portugal,146.3
Portugal,218.5
Portugal,151.89
Portugal,148.3
Portugal,96.3
Portugal,166.0
Portugal,96.3
Portugal,149.0
Portugal,151.95
Portugal,191.67
Portugal,211.0
International,149.4
International,201.0
Portugal,211.0
Portugal,259.0
Portugal,164.4
Portugal,134.0
International,134.0
Portugal,229.0
Portugal,199.0
International,112.5
Portugal,194.0
Portugal,149.4
International,155.77
Portugal,131.7
Portugal,174.71
International,101.65
Portugal,206.0
Portugal,134.0
Portugal,201.5
Portugal,134.0
Portugal,138.79
Portugal,122.0
International,113.47
Portugal,99.5
Portugal,153.0
Portugal,233.0
Portugal,153.0
Portugal,192.0
International,132.6
Portugal,171.9
Portugal,154.0
Portugal,172.0
Portugal,191.0
Portugal,148.25
International,164.0
Portugal,231.6
Portugal,261.4
Portugal,199.4
Portugal,209.6
Portugal,199.4
Portugal,150.83
Portugal,129.27
Portugal,129.27
International,133.76
Portugal,197.7
Portugal,196.0
International,164.0
Portugal,154.0
Portugal,219.33
Portugal,200.8
Portugal,130.2
Portugal,189.67
Portugal,186.13
Portugal,158.38
Portugal,166.0
Portugal,149.0
International,206.6
Portugal,120.6
Portugal,112.5
International,193.0
Portugal,96.3
Portugal,137.7
Portugal,112.0
International,116.85
Portugal,173.5
Portugal,173.5
Portugal,129.15
Portugal,192.2
Portugal,202.77
Portugal,111.27
Portugal,211.0
Portugal,153.0
Portugal,154.0
International,134.0
Portugal,157.67
Portugal,133.0
Portugal,112.34
Portugal,124.5
International,107.0
Portugal,133.0
Portugal,191.0
Portugal,172.6
International,79.5
International,120.27
Portugal,118.29
International,75.53
Portugal,8.0
Portugal,8.0
International,90.39
International,155.86
Portugal,118.29
International,115.0
Portugal,110.7
Portugal,110.7
Portugal,120.38
Portugal,195.0
Portugal,120.6
International,176.0
Portugal,120.6
Portugal,112.05
Portugal,180.55
International,179.0
International,181.0
International,122.0
Portugal,195.0
Portugal,184.0
Portugal,152.0
Portugal,127.67
Portugal,127.67
Portugal,114.13
International,113.7
Portugal,120.6
Portugal,165.0
Portugal,120.6
Portugal,164.0
International,208.0
Portugal,166.5
International,101.16
Portugal,130.6
Portugal,145.0
Portugal,158.0
International,109.83
Portugal,141.67
Portugal,175.0
International,98.63
International,166.14
International,150.71
Portugal,97.74
Portugal,189.86
International,97.5
Portugal,123.11
Portugal,104.8
Portugal,164.0
International,134.0
Portugal,146.0
International,103.18
Portugal,103.18
Portugal,164.0
Portugal,142.5
Portugal,77.5
Portugal,135.2
Portugal,149.0
Portugal,140.4
Portugal,112.0
Portugal,173.25
Portugal,121.5
Portugal,122.86
Portugal,130.9
Portugal,146.0
Portugal,154.0
Portugal,103.5
Portugal,103.5
Portugal,129.33
International,115.2
International,71.72
International,106.8
International,71.69
International,136.2
International,112.33
International,112.33
Portugal,157.67
Portugal,165.0
Portugal,113.43
Portugal,161.29
Portugal,167.86
International,103.07
Portugal,161.29
Portugal,96.3
International,92.86
Portugal,128.0
International,115.2
International,80.55
International,120.33
International,126.67
Portugal,130.33
International,75.46
Portugal,96.33
Portugal,117.83
International,120.33
International,98.0
Portugal,155.5
Portugal,122.6
Portugal,105.5
Portugal,101.44
Portugal,160.0
Portugal,120.5
International,126.29
International,87.75
International,113.55
Portugal,123.0
Portugal,98.0
Portugal,151.0
International,134.67
Portugal,153.0
Portugal,137.67
Portugal,111.0
Portugal,123.0
Portugal,119.0
Portugal,155.0
Portugal,109.0
Portugal,158.0
Portugal,128.0
Portugal,113.0
Portugal,113.0
Portugal,93.12
Portugal,128.0
Portugal,93.12
Portugal,110.7
International,101.03
Portugal,120.71
International,82.72
Portugal,131.0
Portugal,120.71
International,110.71
Portugal,136.0
International,186.0
International,114.19
Portugal,186.0
Portugal,86.95
International,113.0
International,82.88
Portugal,134.0
Portugal,155.0
Portugal,146.0
Portugal,155.0
International,154.25
International,71.69
International,71.69
Portugal,150.71
International,57.0
Portugal,153.0
Portugal,153.0
International,131.4
Portugal,90.4
International,88.2
International,88.2
International,65.5
International,88.2
Portugal,211.0
International,80.0
International,88.2
Portugal,88.2
International,88.2
Portugal,109.5
Portugal,144.9
International,79.5
Portugal,124.5
International,123.0
Portugal,113.0
International,123.0
Portugal,166.0
International,79.5
International,79.5
International,79.5
International,91.46
Portugal,153.0
International,62.48
International,124.1
Portugal,117.9
International,143.0
International,131.0
International,128.0
International,167.0
Portugal,153.0
International,172.0
Portugal,123.0
Portugal,146.0
Portugal,79.5
Portugal,116.8
Portugal,155.0
International,79.5
International,135.0
Portugal,116.8
Portugal,176.0
Portugal,151.25
International,168.0
International,123.0
Portugal,151.88
International,153.0
International,104.8
International,183.0
Portugal,120.0
International,97.5
Portugal,143.5
Portugal,163.0
Portugal,123.0
Portugal,171.0
Portugal,171.0
Portugal,143.0
International,156.0
International,139.5
Portugal,113.0
Portugal,154.14
International,98.0
Portugal,113.0
International,107.5
International,124.8
Portugal,153.0
Portugal,131.0
International,111.5
International,98.0
Portugal,123.0
Portugal,153.0
Portugal,123.0
Portugal,197.0
Portugal,97.5
Portugal,97.5
International,87.75
International,83.7
International,91.77
Portugal,128.0
Portugal,98.0
Portugal,71.69
International,114.5
Portugal,149.0
Portugal,123.0
Portugal,117.8
Portugal,98.0
Portugal,198.0
Portugal,124.8
International,98.0
Portugal,89.0
International,128.0
Portugal,146.0
Portugal,131.0
Portugal,98.0
International,161.0
International,79.5
International,126.29
International,105.5
Portugal,208.14
Portugal,103.85
Portugal,79.5
Portugal,113.0
Portugal,163.0
International,107.5
International,97.5
Portugal,113.0
International,66.15
Portugal,99.8
International,111.96
International,139.18
International,83.15
International,77.6
Portugal,144.9
Portugal,161.0
Portugal,131.0
Portugal,131.0
Portugal,188.0
International,64.29
Portugal,98.0
Portugal,123.0
Portugal,117.29
Portugal,98.0
Portugal,75.96
International,83.5
Portugal,131.0
Portugal,84.47
Portugal,84.47
Portugal,84.47
Portugal,156.0
Portugal,98.0
Portugal,117.9
Portugal,98.0
International,101.53
International,97.54
International,91.5
International,113.0
Portugal,58.95
Portugal,133.0
International,76.5
Portugal,146.0
International,146.0
Portugal,80.0
International,68.5
Portugal,146.0
Portugal,124.8
International,131.0
Portugal,146.0
Portugal,134.0
Portugal,86.69
Portugal,124.4
International,65.7
International,77.7
International,59.0
International,76.5
Portugal,82.0
Portugal,92.67
Portugal,82.0
International,115.4
International,158.4
International,108.0
Portugal,87.05
International,70.98
Portugal,119.7
Portugal,73.8
Portugal,87.05
Portugal,87.05
International,82.44
International,153.0
International,57.54
Portugal,120.43
International,131.0
Portugal,75.46
Portugal,82.0
International,75.46
Portugal,208.0
International,106.25
Portugal,70.48
International,85.0
International,83.5
International,48.88
International,73.5
International,101.5
Portugal,133.0
Portugal,87.05
International,118.2
International,66.15
International,50.15
International,112.42
International,131.0
International,68.5
International,104.8
International,117.9
International,134.0
Portugal,113.0
International,138.5
International,146.0
Portugal,133.0
International,153.0
International,131.0
Portugal,135.0
International,111.2
International,57.5
Portugal,58.95
International,77.11
Portugal,97.99
International,51.75
Portugal,89.0
Portugal,153.0
International,141.5
Portugal,36.0
Portugal,59.13
International,66.6
Portugal,129.0
Portugal,82.0
International,58.05
Portugal,95.86
International,68.45
International,131.14
International,72.25
International,53.1
International,123.0
Portugal,110.7
Portugal,73.8
International,127.75
Portugal,110.75
Portugal,91.0
International,122.75
Portugal,91.0
Portugal,132.6
Portugal,124.0
Portugal,138.6
Portugal,107.0
International,70.2
International,66.15
International,93.21
International,53.1
International,53.1
Portugal,105.0
International,66.15
Portugal,79.5
International,73.5
International,58.5
International,132.0
Portugal,120.0
Portugal,73.5
Portugal,212.83
Portugal,120.08
Portugal,77.2
Portugal,160.8
International,76.67
International,100.5
Portugal,89.0
International,95.0
International,103.51
International,82.0
International,160.0
Portugal,146.0
Portugal,68.4
International,55.79
Portugal,103.8
International,99.0
Portugal,122.14
Portugal,90.14
Portugal,103.8
International,73.5
Portugal,68.88
