tipo,adr
work,120.6
work,123.2
work,112.0
work,123.2
work,169.0
work,198.0
work,103.5
work,135.6
work,103.5
work,184.0
work,134.0
work,147.0
work,151.33
work,121.33
work+rest,150.2
work+rest,139.0
work+rest,150.2
work+rest,75.44
work+rest,135.0
work+rest,166.0
work+rest,135.0
work+rest,130.0
rest,96.3
rest,160.0
work,127.25
work,164.0
work,144.5
work,112.0
work,134.0
work,127.25
work,155.5
work,110.5
work,144.5
work,144.5
work,123.0
work,120.6
work,107.6
work+rest,120.6
work+rest,107.0
work+rest,133.75
work+rest,103.5
work+rest,84.8
work+rest,107.0
work+rest,107.0
work+rest,84.8
work+rest,107.0
work+rest,195.0
work+rest,164.0
work+rest,195.0
work+rest,125.0
work+rest,195.0
work+rest,132.3
work+rest,145.0
work+rest,92.0
work+rest,132.3
rest,147.0
rest,167.0
rest,210.0
rest,194.9
work+rest,103.5
work+rest,118.5
work+rest,192.0
work+rest,128.27
work+rest,135.0
work+rest,126.3
work+rest,154.0
work+rest,96.3
work+rest,126.3
work,136.0
work+rest,118.5
work+rest,116.33
work+rest,164.0
work+rest,147.67
work+rest,145.0
work+rest,147.0
work+rest,168.3
work+rest,167.0
work+rest,137.75
work+rest,145.0
work+rest,132.6
work+rest,147.0
work+rest,157.0
work+rest,210.0
work+rest,132.5
work+rest,98.02
work+rest,126.0
work,173.0
work,249.0
work+rest,186.5
work+rest,95.0
work+rest,241.5
work+rest,177.0
work+rest,153.73
work+rest,115.0
work+rest,127.03
work+rest,128.25
work+rest,128.25
work+rest,115.0
rest,135.0
rest,167.0
rest,135.0
rest,124.5
weekend,98.0
weekend,98.0
weekend,135.0
weekend,88.2
weekend,120.6
weekend,154.5
work+rest,145.0
work+rest,92.0
work+rest,154.0
work+rest,115.0
work+rest,110.53
work+rest,158.5
work+rest,131.37
work+rest,117.71
work+rest,123.0
work+rest,158.5
work+rest,117.84
work+rest,154.0
work+rest,116.85
work+rest,129.16
work+rest,214.0
work+rest,115.0
work+rest,123.0
work+rest,123.0
package,195.0
rest,135.2
rest,123.0
work+rest,130.5
weekend,123.0
work+rest,179.1
work+rest,115.0
work+rest,115.0
work+rest,103.5
work+rest,157.0
work+rest,135.0
work+rest,111.65
work+rest,135.0
work+rest,195.0
work+rest,104.0
work+rest,135.0
work+rest,214.0
work+rest,133.17
work+rest,141.33
work+rest,121.01
work+rest,240.64
work+rest,167.5
work+rest,152.43
work+rest,148.34
work+rest,167.0
work+rest,172.93
work+rest,179.1
work+rest,192.5
rest,92.0
rest,111.2
rest,141.6
rest,141.6
rest,141.6
rest,200.0
rest,200.0
work,157.0
work,99.5
work,115.0
work,195.0
work,103.5
work,207.0
work+rest,163.33
work+rest,151.86
work+rest,95.57
rest,112.05
rest,160.0
rest,103.18
work,153.0
work,119.75
work,135.0
work,167.69
work,195.0
work,135.0
work+rest,178.4
work,154.0
work,134.0
work,112.0
work,194.0
work,153.0
work,135.0
work,184.0
work+rest,210.0
work+rest,139.0
work+rest,101.46
work+rest,145.0
work+rest,173.0
rest,217.05
work,164.0
work,173.0
work,112.5
work,153.0
work,173.0
work,153.0
work,134.0
work,153.0
work,233.0
work,154.0
work,173.0
work,135.0
work,132.5
work+rest,222.67
work,135.0
work,107.0
work+rest,127.0
work+rest,135.0
work+rest,149.7
work+rest,161.25
work+rest,107.0
work+rest,75.44
work+rest,75.44
work+rest,115.0
work+rest,159.2
work+rest,163.29
rest,210.0
rest,154.0
rest,166.0
rest,132.5
rest,107.0
rest,121.98
work+rest,133.0
work,107.0
work,117.81
work,107.0
work,120.6
work+rest,147.0
work+rest,153.0
work+rest,153.0
work+rest,134.0
work+rest,153.0
work+rest,118.0
work+rest,134.0
work+rest,135.0
work+rest,158.77
work+rest,134.0
work+rest,134.0
work+rest,142.03
work+rest,240.0
work+rest,134.0
work+rest,134.0
work+rest,147.0
work+rest,176.0
work+rest,120.6
work+rest,166.0
work+rest,134.0
work+rest,147.0
work+rest,167.0
work+rest,107.2
rest,131.63
rest,233.05
rest,90.12
rest,120.6
rest,125.0
rest,154.0
rest,120.6
rest,114.25
rest,107.0
work+rest,88.55
work+rest,149.0
work+rest,195.0
work+rest,164.0
work+rest,154.0
work+rest,120.6
work+rest,103.5
work+rest,115.0
work+rest,95.02
work+rest,132.5
work+rest,209.0
work+rest,95.02
work+rest,132.5
work+rest,180.0
weekend,103.18
work+rest,174.01
package,133.0
package,133.0
work+rest,107.2
work+rest,210.0
work+rest,145.0
work+rest,195.0
work+rest,124.2
work+rest,167.0
work+rest,145.0
work+rest,166.0
work+rest,115.0
work+rest,166.0
work+rest,120.6
work+rest,162.0
work+rest,153.0
work+rest,133.2
work+rest,134.0
work+rest,107.0
work+rest,145.0
work+rest,145.0
work+rest,107.0
work+rest,167.2
work+rest,134.0
work+rest,130.0
work+rest,164.0
work+rest,149.0
work+rest,154.0
work+rest,195.0
work+rest,134.0
work+rest,107.2
work+rest,164.0
work+rest,183.45
work+rest,159.6
work+rest,120.6
work+rest,164.0
work+rest,219.43
work+rest,134.0
work+rest,164.0
work+rest,107.2
work+rest,102.72
work,114.85
work,114.85
work,135.0
work,195.0
work,173.0
work,107.0
work,107.0
work,164.0
work,138.8
work,154.0
work,135.0
work+rest,103.18
rest,115.5
rest,90.95
work,108.54
work,146.0
work+rest,165.4
work+rest,134.0
work+rest,133.0
work+rest,240.0
work+rest,157.0
work,188.0
work+rest,133.0
work+rest,145.0
work+rest,134.0
work+rest,134.0
work+rest,186.0
work+rest,90.95
work+rest,141.65
work+rest,99.24
work+rest,108.06
work+rest,90.95
rest,148.63
work,173.0
work,107.0
work,114.0
work,153.0
work,153.0
work,250.33
work,146.67
work,154.0
work,120.6
work,280.74
work+rest,193.0
work,146.67
work,154.0
work+rest,154.5
work+rest,120.6
work+rest,137.8
rest,160.0
rest,125.89
rest,125.89
work+rest,126.71
work,188.0
work,153.0
work,173.0
work,173.0
work,120.0
work,154.8
work,192.0
work,153.0
work,120.6
work,192.0
work,120.6
work,164.0
work,219.5
work,192.5
work+rest,149.7
work+rest,111.92
work+rest,120.6
work+rest,149.7
work+rest,173.0
work+rest,112.0
work+rest,57.6
work+rest,214.0
work+rest,172.0
work+rest,157.8
work+rest,170.33
rest,119.25
work+rest,96.3
work+rest,118.06
work+rest,118.06
work,154.0
work,202.0
work,134.0
work,202.0
work,252.0
work,233.0
work,211.0
work,211.0
work+rest,237.0
work+rest,188.29
work+rest,120.6
work+rest,177.14
work+rest,222.14
work+rest,127.82
work+rest,194.14
work+rest,120.6
work+rest,144.53
work+rest,185.0
rest,96.3
rest,193.13
rest,210.78
rest,169.0
rest,174.7
rest,135.53
rest,172.0
weekend,144.0
weekend,162.5
work+rest,209.6
work+rest,209.6
work+rest,195.5
work+rest,186.0
work+rest,163.5
work+rest,180.28
work+rest,174.76
package,116.85
work+rest,159.0
rest,104.55
weekend,144.76
work+rest,205.0
work+rest,123.0
work+rest,173.0
work+rest,220.55
work+rest,162.14
work+rest,119.7
work+rest,77.54
work+rest,120.6
work+rest,153.0
work,172.0
work,221.0
work,153.0
work,230.5
work,230.5
work,211.0
work,241.0
work+rest,211.0
work+rest,90.95
work+rest,188.29
work+rest,90.95
rest,187.8
work,172.0
work,171.9
work,200.0
work,149.4
work,154.0
work,148.25
work,172.0
work+rest,183.0
work+rest,242.6
work,172.0
work+rest,168.71
rest,166.0
work,112.0
work,172.0
work,120.6
work,126.0
work,268.0
work+rest,173.0
work+rest,149.2
work+rest,217.2
work+rest,239.3
work+rest,181.5
rest,154.0
rest,173.0
rest,181.9
work,114.0
work,267.0
work,226.0
work,173.0
work,211.0
work,191.0
work+rest,173.0
work+rest,173.0
work+rest,277.5
work+rest,134.0
work+rest,153.0
work+rest,186.0
work+rest,107.2
work+rest,221.0
work+rest,202.0
work+rest,169.0
work+rest,133.5
work+rest,154.38
work+rest,154.38
work+rest,205.0
rest,121.39
work,171.9
work,164.0
work+rest,134.0
work+rest,250.0
work+rest,208.0
work+rest,181.0
work+rest,172.0
work+rest,157.59
work+rest,211.75
work+rest,246.0
work+rest,108.54
work+rest,186.0
work+rest,205.0
work+rest,154.0
work+rest,200.71
work+rest,252.0
work+rest,135.2
work+rest,276.43
work+rest,228.0
work+rest,133.0
work+rest,205.0
work+rest,134.0
work+rest,119.7
work+rest,90.95
work+rest,138.0
work+rest,134.0
rest,173.0
rest,165.69
weekend,195.0
weekend,127.31
weekend,134.0
weekend,207.0
weekend,211.5
work+rest,210.33
work+rest,211.0
work+rest,154.0
work+rest,145.4
work+rest,101.25
work+rest,179.38
work+rest,166.0
work+rest,202.0
work+rest,172.0
work+rest,277.0
work+rest,104.0
work+rest,133.0
work+rest,214.0
work+rest,130.0
work+rest,154.0
work+rest,106.4
rest,133.0
rest,120.0
work+rest,254.0
work+rest,192.0
work+rest,221.0
work+rest,120.6
work+rest,211.0
work+rest,147.6
work+rest,129.0
work+rest,205.0
work+rest,147.07
work+rest,107.2
work+rest,179.1
work+rest,164.65
work+rest,200.0
work+rest,134.0
work+rest,233.0
work+rest,190.0
work+rest,196.0
work+rest,185.57
package,175.0
package,175.0
rest,169.0
work,134.0
work,211.0
work,134.0
work,120.6
work,120.6
work,112.5
work,164.0
work,120.6
work,154.0
work,207.0
work,214.0
work,186.0
work,154.0
work,162.3
work,186.0
work+rest,241.0
work+rest,274.93
work+rest,156.73
work+rest,156.73
work,134.0
work,134.0
work+rest,211.0
rest,200.7
rest,142.26
rest,196.0
rest,129.41
work+rest,98.02
work+rest,120.6
work,191.0
work,191.0
work,252.0
work,157.08
work,258.33
work,211.0
work,211.0
work+rest,133.21
rest,173.5
rest,90.95
rest,90.95
rest,90.95
work+rest,134.0
rest,120.6
work,172.0
work,184.45
work,158.0
work,184.45
work,120.6
work,114.14
work,168.8
work,178.33
work,255.0
work,178.33
work+rest,196.0
work+rest,87.91
work+rest,211.0
work+rest,187.2
work+rest,154.0
work+rest,243.0
work+rest,222.2
work+rest,243.0
work+rest,178.2
work+rest,107.2
work,203.0
work,173.0
work,172.0
work,120.6
work,172.0
work,266.4
work,236.0
work,271.0
work,232.0
work,223.0
work+rest,178.67
work+rest,133.0
work+rest,195.5
work+rest,167.25
work+rest,209.0
work+rest,166.0
work+rest,195.8
work+rest,229.0
work+rest,160.0
work+rest,266.0
work+rest,96.3
work+rest,107.0
work+rest,262.0
work+rest,182.5
work+rest,157.0
work+rest,234.0
work+rest,242.5
work+rest,157.0
work+rest,158.4
work+rest,208.0
work+rest,183.45
work+rest,131.2
work+rest,133.0
work+rest,135.0
work+rest,133.0
work+rest,248.0
work+rest,209.2
work+rest,107.0
work+rest,299.33
work+rest,156.45
work+rest,135.0
work+rest,149.0
work+rest,107.0
work+rest,135.0
work+rest,135.0
work+rest,145.75
work+rest,132.6
work+rest,200.71
work+rest,198.71
work+rest,218.0
work+rest,101.65
rest,186.0
rest,160.0
work+rest,188.71
rest,107.0
rest,181.94
weekend,172.0
weekend,172.0
weekend,185.0
weekend,172.0
weekend,172.0
weekend,184.45
weekend,195.0
weekend,172.0
weekend,172.0
weekend,153.0
weekend,184.45
weekend,184.45
weekend,185.0
weekend,108.54
work+rest,154.0
work+rest,248.0
work+rest,150.53
work+rest,150.53
work+rest,154.0
work+rest,223.99
work+rest,154.0
work+rest,154.0
package,154.0
package,214.0
rest,96.3
rest,175.79
rest,134.0
work+rest,134.0
work+rest,183.0
work+rest,149.4
work+rest,165.11
work+rest,209.4
work+rest,134.0
work+rest,225.9
work+rest,131.1
work+rest,134.0
work+rest,187.0
work+rest,133.0
work+rest,101.65
work+rest,133.0
work+rest,120.0
work+rest,133.0
work+rest,133.0
work+rest,133.0
package,134.0
rest,87.9
work,202.0
work,213.0
work,172.55
work,172.0
work,172.0
work,213.0
work,179.0
work,236.0
work+rest,229.67
work+rest,135.2
work+rest,121.5
work+rest,96.3
work+rest,96.3
work,120.6
work+rest,176.64
work+rest,179.86
work+rest,187.0
rest,134.0
rest,239.5
work,153.0
work,166.0
work,186.25
work,192.0
work+rest,120.6
work+rest,220.4
work+rest,241.0
work+rest,241.0
work,211.0
work+rest,134.0
work+rest,241.0
rest,8.0
rest,196.0
rest,198.0
work,158.5
work,200.0
work,107.0
work+rest,163.23
work+rest,222.07
work+rest,229.0
work+rest,133.0
rest,164.0
work+rest,176.8
work,134.0
work,163.35
work,171.9
work,171.9
work,213.5
work+rest,125.0
work+rest,178.33
work+rest,176.75
work+rest,123.0
work+rest,134.0
work+rest,146.0
work+rest,192.0
work+rest,183.0
work+rest,236.0
work+rest,191.0
work+rest,178.33
work+rest,248.0
work+rest,188.71
work+rest,123.04
work+rest,260.71
work+rest,222.0
work+rest,174.71
rest,118.7
rest,116.85
rest,129.55
work,172.0
work,172.0
work,164.0
work+rest,179.83
work+rest,172.0
work+rest,160.43
work+rest,149.0
work+rest,134.0
work+rest,146.3
work+rest,161.26
work+rest,195.45
work+rest,133.0
work+rest,186.25
work+rest,162.29
work+rest,221.43
work+rest,177.57
work+rest,133.0
work+rest,178.0
work+rest,146.3
rest,218.5
rest,151.89
rest,148.3
work+rest,96.3
work+rest,166.0
work+rest,96.3
work+rest,149.0
work+rest,151.95
work+rest,191.67
work+rest,211.0
work+rest,149.4
work+rest,201.0
work+rest,211.0
work+rest,259.0
work+rest,164.4
work+rest,134.0
work+rest,134.0
work+rest,229.0
work+rest,199.0
work+rest,112.5
work+rest,194.0
work+rest,149.4
work+rest,155.77
work+rest,131.7
work+rest,174.71
work+rest,101.65
work+rest,206.0
work+rest,134.0
work+rest,201.5
work+rest,134.0
rest,138.79
rest,122.0
rest,113.47
weekend,99.5
weekend,153.0
weekend,233.0
weekend,153.0
work+rest,192.0
work+rest,132.6
work+rest,171.9
work+rest,154.0
work+rest,172.0
work+rest,191.0
work+rest,148.25
work+rest,164.0
work+rest,231.6
work+rest,261.4
work+rest,199.4
work+rest,209.6
work+rest,199.4
work+rest,150.83
rest,129.27
rest,129.27
rest,133.76
work+rest,197.7
work+rest,196.0
work,164.0
work,154.0
work,219.33
work,200.8
work,130.2
work+rest,189.67
rest,186.13
rest,158.38
rest,166.0
rest,149.0
rest,206.6
work,120.6
work,112.5
work,193.0
work,96.3
work,137.7
work,112.0
work,116.85
work,173.5
work,173.5
work,129.15
work+rest,192.2
rest,202.77
rest,111.27
work,211.0
work,153.0
work,154.0
work,134.0
work,157.67
work+rest,133.0
work+rest,112.34
work+rest,124.5
work+rest,107.0
work+rest,133.0
work+rest,191.0
work+rest,172.6
work+rest,79.5
work+rest,120.27
work+rest,118.29
work+rest,75.53
work+rest,8.0
work+rest,8.0
work+rest,90.39
work+rest,155.86
work+rest,118.29
work,115.0
work,110.7
work,110.7
work,120.38
work,195.0
work,120.6
work,176.0
work,120.6
work,112.05
work,180.55
work,179.0
work,181.0
work+rest,122.0
work+rest,195.0
work+rest,184.0
work+rest,152.0
work+rest,127.67
work+rest,127.67
work+rest,114.13
work+rest,113.7
work+rest,120.6
work,165.0
work,120.6
work,164.0
work+rest,208.0
work+rest,166.5
work+rest,101.16
work+rest,130.6
work+rest,145.0
work+rest,158.0
work+rest,109.83
work+rest,141.67
work+rest,175.0
work+rest,98.63
work+rest,166.14
work+rest,150.71
work+rest,97.74
work+rest,189.86
work+rest,97.5
rest,123.11
work+rest,104.8
work+rest,164.0
work+rest,134.0
work+rest,146.0
work+rest,103.18
work+rest,103.18
work,164.0
work+rest,142.5
work+rest,77.5
work+rest,135.2
work+rest,149.0
work+rest,140.4
work+rest,112.0
work+rest,173.25
work+rest,121.5
work+rest,122.86
rest,130.9
work+rest,146.0
weekend,154.0
weekend,103.5
weekend,103.5
work+rest,129.33
work+rest,115.2
work+rest,71.72
work+rest,106.8
work+rest,71.69
work+rest,136.2
work+rest,112.33
work+rest,112.33
work+rest,157.67
work+rest,165.0
work+rest,113.43
work+rest,161.29
work+rest,167.86
work+rest,103.07
work+rest,161.29
rest,96.3
weekend,92.86
work+rest,128.0
work+rest,115.2
work+rest,80.55
work+rest,120.33
work+rest,126.67
work+rest,130.33
work+rest,75.46
work+rest,96.33
work+rest,117.83
work+rest,120.33
work+rest,98.0
work+rest,155.5
work+rest,122.6
work+rest,105.5
work+rest,101.44
work+rest,160.0
work+rest,120.5
work+rest,126.29
rest,87.75
rest,113.55
work,123.0
work,98.0
work,151.0
work,134.67
work,153.0
work,137.67
work,111.0
work,123.0
work,119.0
work,155.0
work,109.0
work,158.0
work,128.0
work,113.0
work,113.0
work,93.12
work,128.0
work,93.12
work+rest,110.7
work+rest,101.03
work+rest,120.71
work+rest,82.72
work+rest,131.0
work+rest,120.71
work+rest,110.71
rest,136.0
rest,186.0
rest,114.19
rest,186.0
rest,86.95
rest,113.0
rest,82.88
work,134.0
work,155.0
work,146.0
work,155.0
work,154.25
work+rest,71.69
work+rest,71.69
work+rest,150.71
work+rest,57.0
work+rest,153.0
rest,153.0
work,131.4
work,90.4
work,88.2
work,88.2
work,65.5
work,88.2
work,211.0
work,80.0
work,88.2
work,88.2
work,88.2
work+rest,109.5
work+rest,144.9
work+rest,79.5
work+rest,124.5
work+rest,123.0
rest,113.0
rest,123.0
rest,166.0
rest,79.5
rest,79.5
work+rest,79.5
work+rest,91.46
rest,153.0
rest,62.48
work,124.1
work,117.9
work,143.0
work,131.0
work,128.0
work,167.0
work,153.0
work,172.0
work,123.0
work,146.0
work+rest,79.5
work+rest,116.8
work+rest,155.0
work+rest,79.5
work+rest,135.0
work+rest,116.8
work+rest,176.0
work+rest,151.25
work+rest,168.0
work+rest,123.0
rest,151.88
rest,153.0
rest,104.8
rest,183.0
work+rest,120.0
work+rest,97.5
work,143.5
work+rest,163.0
work+rest,123.0
work+rest,171.0
work+rest,171.0
work+rest,143.0
work+rest,156.0
work+rest,139.5
work+rest,113.0
work+rest,154.14
work+rest,98.0
work+rest,113.0
work+rest,107.5
work+rest,124.8
work+rest,153.0
work+rest,131.0
work+rest,111.5
work+rest,98.0
work+rest,123.0
rest,153.0
rest,123.0
rest,197.0
rest,97.5
rest,97.5
rest,87.75
rest,83.7
rest,91.77
weekend,128.0
weekend,98.0
work+rest,71.69
work+rest,114.5
weekend,149.0
weekend,123.0
work+rest,117.8
work+rest,98.0
work+rest,198.0
work+rest,124.8
work+rest,98.0
work+rest,89.0
work+rest,128.0
work+rest,146.0
work+rest,131.0
work+rest,98.0
work+rest,161.0
work+rest,79.5
work+rest,126.29
work+rest,105.5
work+rest,208.14
work+rest,103.85
work+rest,79.5
work+rest,113.0
work+rest,163.0
work+rest,107.5
work+rest,97.5
package,113.0
rest,66.15
work+rest,99.8
rest,111.96
rest,139.18
rest,83.15
work+rest,77.6
work+rest,144.9
work+rest,161.0
work+rest,131.0
work+rest,131.0
work+rest,188.0
work+rest,64.29
work+rest,98.0
work+rest,123.0
work+rest,117.29
work+rest,98.0
rest,75.96
rest,83.5
work,131.0
work,84.47
work,84.47
work,84.47
work,156.0
work,98.0
work,117.9
work,98.0
work+rest,101.53
work+rest,97.54
work+rest,91.5
rest,113.0
rest,58.95
work+rest,133.0
rest,76.5
work,146.0
work,146.0
work,80.0
work,68.5
work,146.0
work,124.8
work,131.0
work,146.0
work,134.0
work,86.69
work+rest,124.4
work+rest,65.7
work+rest,77.7
work+rest,59.0
work+rest,76.5
rest,82.0
rest,92.67
rest,82.0
work+rest,115.4
work+rest,158.4
work,108.0
work+rest,87.05
work+rest,70.98
work+rest,119.7
work+rest,73.8
work+rest,87.05
work+rest,87.05
work+rest,82.44
work+rest,153.0
work+rest,57.54
work+rest,120.43
work,131.0
work,75.46
work,82.0
work,75.46
work,208.0
work+rest,106.25
work+rest,70.48
work+rest,85.0
work+rest,83.5
work+rest,48.88
work+rest,73.5
rest,101.5
work+rest,133.0
work+rest,87.05
rest,118.2
rest,66.15
rest,50.15
work,112.42
work,131.0
work,68.5
work,104.8
work,117.9
work,134.0
work,113.0
work,138.5
work,146.0
work,133.0
work+rest,153.0
work+rest,131.0
work+rest,135.0
work+rest,111.2
work+rest,57.5
work+rest,58.95
work+rest,77.11
work+rest,97.99
rest,51.75
work,89.0
work,153.0
work+rest,141.5
work+rest,36.0
work+rest,59.13
work+rest,66.6
work+rest,129.0
work+rest,82.0
work+rest,58.05
work+rest,95.86
work+rest,68.45
work+rest,131.14
rest,72.25
work+rest,53.1
weekend,123.0
weekend,110.7
work+rest,73.8
work+rest,127.75
work+rest,110.75
work+rest,91.0
work+rest,122.75
work+rest,91.0
work+rest,132.6
work+rest,124.0
work+rest,138.6
work+rest,107.0
work+rest,70.2
work+rest,66.15
work+rest,93.21
package,53.1
rest,53.1
rest,105.0
rest,66.15
rest,79.5
rest,73.5
work+rest,58.5
work+rest,132.0
work+rest,120.0
work+rest,73.5
work+rest,212.83
work+rest,120.08
work+rest,77.2
work+rest,160.8
work+rest,76.67
work+rest,100.5
work+rest,89.0
package,95.0
rest,103.51
rest,82.0
work+rest,160.0
work,146.0
work,68.4
work,55.79
work,103.8
work+rest,99.0
work+rest,122.14
work+rest,90.14
work,103.8
rest,73.5
rest,68.88
rest,74.53
rest,71.66
work,74.0
work,74.0
work,66.6
work,8.0
work,62.0
work,79.0
work,65.0
work,58.5
work,55.0
work,74.0
work,86.0
work,129.0
work,129.0
