hotel,origin,adr
Resort Hotel,Portugal,122.0
Resort Hotel,International,110.7
Resort Hotel,Portugal,85.86
Resort Hotel,International,58.95
Resort Hotel,Portugal,55.68
Resort Hotel,International,55.68
Resort Hotel,Portugal,124.0
Resort Hotel,International,111.15
Resort Hotel,International,134.73
Resort Hotel,International,92.45
Resort Hotel,Portugal,108.73
Resort Hotel,International,73.8
Resort Hotel,Portugal,98.0
Resort Hotel,International,131.0
Resort Hotel,Portugal,123.0
Resort Hotel,International,94.71
Resort Hotel,International,123.0
Resort Hotel,Portugal,123.0
Resort Hotel,Portugal,73.8
Resort Hotel,Portugal,117.0
Resort Hotel,International,196.54
Resort Hotel,Portugal,99.3
Resort Hotel,International,90.95
Resort Hotel,International,92.67
Resort Hotel,International,71.55
Resort Hotel,International,96.49
Resort Hotel,Portugal,85.8
Resort Hotel,Portugal,96.3
Resort Hotel,Portugal,163.0
Resort Hotel,Portugal,172.0
Resort Hotel,Portugal,110.7
Resort Hotel,Portugal,58.95
Resort Hotel,Portugal,73.8
Resort Hotel,International,97.0
Resort Hotel,Portugal,139.0
Resort Hotel,International,67.24
Resort Hotel,Portugal,116.5
Resort Hotel,Portugal,96.3
Resort Hotel,Portugal,123.0
Resort Hotel,International,71.55
Resort Hotel,Portugal,71.55
Resort Hotel,Portugal,149.0
Resort Hotel,Portugal,163.0
Resort Hotel,Portugal,79.5
Resort Hotel,Portugal,105.0
Resort Hotel,Portugal,123.0
Resort Hotel,Portugal,73.8
Resort Hotel,Portugal,113.0
Resort Hotel,International,123.0
Resort Hotel,International,73.8
Resort Hotel,Portugal,114.5
Resort Hotel,International,73.8
Resort Hotel,International,73.8
Resort Hotel,International,88.2
Resort Hotel,Portugal,97.0
Resort Hotel,International,85.1
Resort Hotel,International,89.0
Resort Hotel,Portugal,80.1
Resort Hotel,Portugal,98.0
Resort Hotel,International,101.0
Resort Hotel,Portugal,97.0
Resort Hotel,Portugal,167.0
Resort Hotel,Portugal,225.0
Resort Hotel,International,97.0
Resort Hotel,International,87.3
Resort Hotel,International,85.59
Resort Hotel,International,123.0
Resort Hotel,Portugal,107.0
Resort Hotel,International,163.0
Resort Hotel,Portugal,82.0
Resort Hotel,Portugal,163.0
Resort Hotel,Portugal,105.5
Resort Hotel,Portugal,164.2
Resort Hotel,International,97.29
Resort Hotel,Portugal,114.0
Resort Hotel,International,98.4
Resort Hotel,International,175.0
Resort Hotel,Portugal,63.6
Resort Hotel,Portugal,124.45
Resort Hotel,International,110.7
Resort Hotel,International,74.07
Resort Hotel,International,134.1
Resort Hotel,Portugal,167.0
Resort Hotel,Portugal,123.0
Resort Hotel,International,117.81
Resort Hotel,International,171.32
Resort Hotel,International,210.0
Resort Hotel,Portugal,97.0
Resort Hotel,International,117.81
Resort Hotel,Portugal,131.0
Resort Hotel,Portugal,98.0
Resort Hotel,International,87.3
Resort Hotel,International,97.0
Resort Hotel,Portugal,167.0
Resort Hotel,Portugal,91.5
Resort Hotel,Portugal,73.8
Resort Hotel,Portugal,123.0
Resort Hotel,Portugal,175.0
Resort Hotel,International,117.8
Resort Hotel,Portugal,117.63
Resort Hotel,Portugal,185.0
Resort Hotel,Portugal,71.0
Resort Hotel,International,47.25
Resort Hotel,Portugal,151.0
Resort Hotel,Portugal,87.3
Resort Hotel,International,120.6
Resort Hotel,International,63.86
Resort Hotel,Portugal,157.1
Resort Hotel,International,91.37
Resort Hotel,International,73.0
Resort Hotel,International,110.7
Resort Hotel,International,93.6
Resort Hotel,Portugal,83.5
Resort Hotel,Portugal,73.8
Resort Hotel,International,82.0
Resort Hotel,Portugal,185.5
Resort Hotel,International,109.8
Resort Hotel,Portugal,195.0
Resort Hotel,International,109.8
Resort Hotel,International,193.0
Resort Hotel,Portugal,97.0
Resort Hotel,International,150.0
Resort Hotel,International,98.0
Resort Hotel,Portugal,91.5
Resort Hotel,Portugal,139.0
Resort Hotel,International,79.5
Resort Hotel,Portugal,47.25
Resort Hotel,International,126.65
Resort Hotel,International,107.0
Resort Hotel,Portugal,131.0
Resort Hotel,International,131.0
Resort Hotel,Portugal,123.0
Resort Hotel,International,146.0
Resort Hotel,Portugal,110.7
Resort Hotel,Portugal,73.8
Resort Hotel,Portugal,61.0
Resort Hotel,Portugal,104.72
Resort Hotel,Portugal,104.72
Resort Hotel,International,104.72
Resort Hotel,Portugal,66.42
Resort Hotel,Portugal,77.96
Resort Hotel,Portugal,112.0
Resort Hotel,International,107.0
Resort Hotel,International,89.68
Resort Hotel,Portugal,155.0
Resort Hotel,International,112.0
Resort Hotel,International,130.1
Resort Hotel,International,100.1
Resort Hotel,Portugal,123.0
Resort Hotel,International,124.0
Resort Hotel,Portugal,146.0
Resort Hotel,Portugal,97.0
Resort Hotel,Portugal,123.0
Resort Hotel,Portugal,153.0
Resort Hotel,Portugal,82.0
Resort Hotel,Portugal,105.08
Resort Hotel,Portugal,65.42
Resort Hotel,International,98.0
Resort Hotel,International,75.46
Resort Hotel,International,65.5
Resort Hotel,International,90.95
Resort Hotel,International,93.6
Resort Hotel,International,119.25
Resort Hotel,International,134.73
Resort Hotel,Portugal,112.0
Resort Hotel,Portugal,118.13
Resort Hotel,International,131.0
Resort Hotel,Portugal,88.2
Resort Hotel,Portugal,73.8
Resort Hotel,Portugal,98.0
Resort Hotel,Portugal,110.5
Resort Hotel,Portugal,131.0
Resort Hotel,Portugal,185.0
Resort Hotel,Portugal,87.3
Resort Hotel,Portugal,73.8
Resort Hotel,International,120.0
Resort Hotel,International,98.0
Resort Hotel,International,96.3
Resort Hotel,Portugal,197.0
Resort Hotel,Portugal,197.0
Resort Hotel,Portugal,123.0
Resort Hotel,International,82.0
Resort Hotel,Portugal,165.0
Resort Hotel,International,149.4
Resort Hotel,Portugal,106.84
Resort Hotel,Portugal,161.0
Resort Hotel,Portugal,134.43
Resort Hotel,Portugal,144.43
Resort Hotel,International,152.0
Resort Hotel,International,125.54
Resort Hotel,Portugal,133.83
Resort Hotel,Portugal,159.75
Resort Hotel,International,120.6
Resort Hotel,Portugal,112.2
Resort Hotel,International,110.6
Resort Hotel,International,105.9
Resort Hotel,International,95.27
Resort Hotel,International,108.83
Resort Hotel,Portugal,153.96
Resort Hotel,International,120.6
Resort Hotel,Portugal,90.67
Resort Hotel,Portugal,126.67
Resort Hotel,Portugal,144.4
Resort Hotel,International,99.5
Resort Hotel,Portugal,139.4
Resort Hotel,Portugal,73.8
Resort Hotel,International,89.97
Resort Hotel,Portugal,123.0
Resort Hotel,International,123.0
Resort Hotel,International,123.0
Resort Hotel,International,144.9
Resort Hotel,International,153.0
Resort Hotel,International,131.0
Resort Hotel,Portugal,100.0
Resort Hotel,International,65.5
Resort Hotel,International,123.0
Resort Hotel,Portugal,123.0
Resort Hotel,International,131.0
Resort Hotel,Portugal,104.68
Resort Hotel,Portugal,166.0
Resort Hotel,Portugal,111.25
Resort Hotel,Portugal,213.75
Resort Hotel,Portugal,178.0
Resort Hotel,Portugal,113.9
Resort Hotel,Portugal,129.29
Resort Hotel,International,153.0
Resort Hotel,Portugal,98.0
Resort Hotel,Portugal,169.0
Resort Hotel,Portugal,93.0
Resort Hotel,International,132.29
Resort Hotel,International,123.0
Resort Hotel,Portugal,117.22
Resort Hotel,International,149.0
Resort Hotel,Portugal,164.57
Resort Hotel,International,107.0
Resort Hotel,Portugal,117.22
Resort Hotel,Portugal,119.25
Resort Hotel,International,123.0
Resort Hotel,Portugal,105.71
Resort Hotel,International,123.0
Resort Hotel,International,144.43
Resort Hotel,Portugal,126.0
Resort Hotel,International,148.3
Resort Hotel,Portugal,125.22
Resort Hotel,International,123.0
Resort Hotel,International,130.0
Resort Hotel,International,78.84
Resort Hotel,Portugal,80.1
Resort Hotel,International,193.0
Resort Hotel,International,88.2
Resort Hotel,International,90.71
Resort Hotel,International,114.5
Resort Hotel,International,120.2
Resort Hotel,International,79.5
Resort Hotel,International,117.9
Resort Hotel,Portugal,128.0
Resort Hotel,International,90.95
Resort Hotel,International,107.0
Resort Hotel,International,130.05
Resort Hotel,International,123.0
Resort Hotel,Portugal,103.8
Resort Hotel,International,196.0
Resort Hotel,International,149.4
Resort Hotel,International,175.71
Resort Hotel,Portugal,119.7
Resort Hotel,Portugal,100.86
Resort Hotel,International,100.86
Resort Hotel,International,82.0
Resort Hotel,International,73.8
Resort Hotel,International,117.9
Resort Hotel,International,82.0
Resort Hotel,Portugal,150.0
Resort Hotel,International,161.0
Resort Hotel,International,64.0
Resort Hotel,Portugal,123.0
Resort Hotel,International,110.0
Resort Hotel,Portugal,88.2
Resort Hotel,International,130.0
Resort Hotel,Portugal,88.2
Resort Hotel,International,165.0
Resort Hotel,Portugal,114.0
Resort Hotel,Portugal,79.5
Resort Hotel,Portugal,132.8
Resort Hotel,International,120.0
Resort Hotel,Portugal,79.5
Resort Hotel,Portugal,120.0
Resort Hotel,Portugal,144.2
Resort Hotel,Portugal,107.2
Resort Hotel,Portugal,120.0
Resort Hotel,International,120.0
Resort Hotel,Portugal,163.8
Resort Hotel,Portugal,98.5
Resort Hotel,Portugal,130.5
Resort Hotel,Portugal,153.0
Resort Hotel,International,98.5
Resort Hotel,Portugal,119.7
Resort Hotel,Portugal,184.6
Resort Hotel,International,181.22
Resort Hotel,Portugal,100.86
Resort Hotel,International,100.2
Resort Hotel,International,134.25
Resort Hotel,International,96.3
Resort Hotel,International,83.09
Resort Hotel,Portugal,105.5
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,8.0
Resort Hotel,Portugal,146.0
Resort Hotel,Portugal,126.0
Resort Hotel,International,111.15
Resort Hotel,International,136.2
Resort Hotel,Portugal,101.8
Resort Hotel,Portugal,127.0
Resort Hotel,Portugal,161.5
Resort Hotel,Portugal,230.67
Resort Hotel,Portugal,65.7
Resort Hotel,International,180.0
Resort Hotel,International,168.57
Resort Hotel,Portugal,107.67
Resort Hotel,Portugal,96.9
Resort Hotel,International,107.0
Resort Hotel,International,73.41
Resort Hotel,International,109.9
Resort Hotel,International,109.9
Resort Hotel,Portugal,187.5
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,91.5
Resort Hotel,Portugal,132.44
Resort Hotel,International,106.9
Resort Hotel,Portugal,131.86
Resort Hotel,International,216.13
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,107.0
Resort Hotel,International,190.33
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,94.0
Resort Hotel,Portugal,98.75
Resort Hotel,Portugal,148.23
Resort Hotel,Portugal,94.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,148.23
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,98.75
Resort Hotel,Portugal,195.0
Resort Hotel,International,120.6
Resort Hotel,International,123.2
Resort Hotel,Portugal,112.0
Resort Hotel,Portugal,123.2
Resort Hotel,International,169.0
Resort Hotel,Portugal,198.0
Resort Hotel,Portugal,103.5
Resort Hotel,Portugal,135.6
Resort Hotel,International,103.5
Resort Hotel,International,184.0
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,147.0
Resort Hotel,Portugal,151.33
Resort Hotel,International,121.33
Resort Hotel,International,150.2
Resort Hotel,Portugal,139.0
Resort Hotel,International,150.2
Resort Hotel,Portugal,75.44
Resort Hotel,Portugal,135.0
Resort Hotel,Portugal,166.0
Resort Hotel,Portugal,135.0
Resort Hotel,International,130.0
Resort Hotel,Portugal,96.3
Resort Hotel,Portugal,160.0
Resort Hotel,Portugal,127.25
Resort Hotel,Portugal,164.0
Resort Hotel,Portugal,144.5
Resort Hotel,Portugal,112.0
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,127.25
Resort Hotel,International,155.5
Resort Hotel,Portugal,110.5
Resort Hotel,Portugal,144.5
Resort Hotel,International,144.5
Resort Hotel,Portugal,123.0
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,107.6
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,133.75
Resort Hotel,International,103.5
Resort Hotel,Portugal,84.8
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,84.8
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,195.0
Resort Hotel,Portugal,164.0
Resort Hotel,International,195.0
Resort Hotel,International,125.0
Resort Hotel,Portugal,195.0
Resort Hotel,Portugal,132.3
Resort Hotel,Portugal,145.0
Resort Hotel,International,92.0
Resort Hotel,Portugal,132.3
Resort Hotel,International,147.0
Resort Hotel,International,167.0
Resort Hotel,International,210.0
Resort Hotel,International,194.9
Resort Hotel,International,103.5
Resort Hotel,International,118.5
Resort Hotel,Portugal,192.0
Resort Hotel,International,128.27
Resort Hotel,International,135.0
Resort Hotel,International,126.3
Resort Hotel,Portugal,154.0
Resort Hotel,International,96.3
Resort Hotel,International,126.3
Resort Hotel,Portugal,136.0
Resort Hotel,International,118.5
Resort Hotel,International,116.33
Resort Hotel,Portugal,164.0
Resort Hotel,International,147.67
Resort Hotel,Portugal,145.0
Resort Hotel,International,147.0
Resort Hotel,Portugal,168.3
Resort Hotel,Portugal,167.0
Resort Hotel,Portugal,137.75
Resort Hotel,Portugal,145.0
Resort Hotel,Portugal,132.6
Resort Hotel,Portugal,147.0
Resort Hotel,Portugal,157.0
Resort Hotel,Portugal,210.0
Resort Hotel,Portugal,132.5
Resort Hotel,International,98.02
Resort Hotel,Portugal,126.0
Resort Hotel,Portugal,173.0
Resort Hotel,Portugal,249.0
Resort Hotel,Portugal,186.5
Resort Hotel,International,95.0
Resort Hotel,Portugal,241.5
Resort Hotel,International,177.0
Resort Hotel,Portugal,153.73
Resort Hotel,Portugal,115.0
Resort Hotel,Portugal,127.03
Resort Hotel,Portugal,128.25
Resort Hotel,Portugal,128.25
Resort Hotel,Portugal,115.0
Resort Hotel,International,135.0
Resort Hotel,Portugal,167.0
Resort Hotel,International,135.0
Resort Hotel,International,124.5
Resort Hotel,Portugal,98.0
Resort Hotel,Portugal,98.0
Resort Hotel,International,135.0
Resort Hotel,Portugal,88.2
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,154.5
Resort Hotel,Portugal,145.0
Resort Hotel,Portugal,92.0
Resort Hotel,Portugal,154.0
Resort Hotel,Portugal,115.0
Resort Hotel,Portugal,110.53
Resort Hotel,Portugal,158.5
Resort Hotel,International,131.37
Resort Hotel,Portugal,117.71
Resort Hotel,International,123.0
Resort Hotel,Portugal,158.5
Resort Hotel,International,117.84
Resort Hotel,Portugal,154.0
Resort Hotel,International,116.85
Resort Hotel,Portugal,129.16
Resort Hotel,Portugal,214.0
Resort Hotel,Portugal,115.0
Resort Hotel,International,123.0
Resort Hotel,International,123.0
Resort Hotel,Portugal,195.0
Resort Hotel,International,135.2
Resort Hotel,International,123.0
Resort Hotel,International,130.5
Resort Hotel,Portugal,123.0
Resort Hotel,Portugal,179.1
Resort Hotel,Portugal,115.0
Resort Hotel,Portugal,115.0
Resort Hotel,International,103.5
Resort Hotel,Portugal,157.0
Resort Hotel,Portugal,135.0
Resort Hotel,International,111.65
Resort Hotel,Portugal,135.0
Resort Hotel,Portugal,195.0
Resort Hotel,International,104.0
Resort Hotel,Portugal,135.0
Resort Hotel,Portugal,214.0
Resort Hotel,Portugal,133.17
Resort Hotel,Portugal,141.33
Resort Hotel,International,121.01
Resort Hotel,Portugal,240.64
Resort Hotel,International,167.5
Resort Hotel,Portugal,152.43
Resort Hotel,International,148.34
Resort Hotel,International,167.0
Resort Hotel,Portugal,172.93
Resort Hotel,Portugal,179.1
Resort Hotel,Portugal,192.5
Resort Hotel,Portugal,92.0
Resort Hotel,Portugal,111.2
Resort Hotel,Portugal,141.6
Resort Hotel,Portugal,141.6
Resort Hotel,Portugal,141.6
Resort Hotel,Portugal,200.0
Resort Hotel,Portugal,200.0
Resort Hotel,Portugal,157.0
Resort Hotel,Portugal,99.5
Resort Hotel,Portugal,115.0
Resort Hotel,Portugal,195.0
Resort Hotel,Portugal,103.5
Resort Hotel,Portugal,207.0
Resort Hotel,Portugal,163.33
Resort Hotel,International,151.86
Resort Hotel,International,95.57
Resort Hotel,Portugal,112.05
Resort Hotel,International,160.0
Resort Hotel,International,103.18
Resort Hotel,International,153.0
Resort Hotel,Portugal,119.75
Resort Hotel,Portugal,135.0
Resort Hotel,International,167.69
Resort Hotel,Portugal,195.0
Resort Hotel,Portugal,135.0
Resort Hotel,Portugal,178.4
Resort Hotel,Portugal,154.0
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,112.0
Resort Hotel,International,194.0
Resort Hotel,Portugal,153.0
Resort Hotel,Portugal,135.0
Resort Hotel,International,184.0
Resort Hotel,Portugal,210.0
Resort Hotel,Portugal,139.0
Resort Hotel,International,101.46
Resort Hotel,Portugal,145.0
Resort Hotel,Portugal,173.0
Resort Hotel,International,217.05
Resort Hotel,International,164.0
Resort Hotel,International,173.0
Resort Hotel,Portugal,112.5
Resort Hotel,International,153.0
Resort Hotel,International,173.0
Resort Hotel,International,153.0
Resort Hotel,Portugal,134.0
Resort Hotel,International,153.0
Resort Hotel,Portugal,233.0
Resort Hotel,International,154.0
Resort Hotel,International,173.0
Resort Hotel,Portugal,135.0
Resort Hotel,Portugal,132.5
Resort Hotel,International,222.67
Resort Hotel,Portugal,135.0
Resort Hotel,International,107.0
Resort Hotel,Portugal,127.0
Resort Hotel,Portugal,135.0
Resort Hotel,International,149.7
Resort Hotel,Portugal,161.25
Resort Hotel,International,107.0
Resort Hotel,International,75.44
Resort Hotel,International,75.44
Resort Hotel,Portugal,115.0
Resort Hotel,Portugal,159.2
Resort Hotel,Portugal,163.29
Resort Hotel,Portugal,210.0
Resort Hotel,Portugal,154.0
Resort Hotel,International,166.0
Resort Hotel,International,132.5
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,121.98
Resort Hotel,Portugal,133.0
Resort Hotel,International,107.0
Resort Hotel,International,117.81
Resort Hotel,International,107.0
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,147.0
Resort Hotel,Portugal,153.0
Resort Hotel,Portugal,153.0
Resort Hotel,Portugal,134.0
Resort Hotel,International,153.0
Resort Hotel,Portugal,118.0
Resort Hotel,International,134.0
Resort Hotel,Portugal,135.0
Resort Hotel,International,158.77
Resort Hotel,International,134.0
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,142.03
Resort Hotel,Portugal,240.0
Resort Hotel,International,134.0
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,147.0
Resort Hotel,Portugal,176.0
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,166.0
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,147.0
Resort Hotel,Portugal,167.0
Resort Hotel,Portugal,107.2
Resort Hotel,Portugal,131.63
Resort Hotel,International,233.05
Resort Hotel,International,90.12
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,125.0
Resort Hotel,Portugal,154.0
Resort Hotel,Portugal,120.6
Resort Hotel,International,114.25
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,88.55
Resort Hotel,Portugal,149.0
Resort Hotel,Portugal,195.0
Resort Hotel,Portugal,164.0
Resort Hotel,Portugal,154.0
Resort Hotel,Portugal,120.6
Resort Hotel,International,103.5
Resort Hotel,International,115.0
Resort Hotel,Portugal,95.02
Resort Hotel,Portugal,132.5
Resort Hotel,Portugal,209.0
Resort Hotel,Portugal,95.02
Resort Hotel,Portugal,132.5
Resort Hotel,International,180.0
Resort Hotel,International,103.18
Resort Hotel,Portugal,174.01
Resort Hotel,Portugal,133.0
Resort Hotel,Portugal,133.0
Resort Hotel,International,107.2
Resort Hotel,Portugal,210.0
Resort Hotel,Portugal,145.0
Resort Hotel,Portugal,195.0
Resort Hotel,Portugal,124.2
Resort Hotel,Portugal,167.0
Resort Hotel,Portugal,145.0
Resort Hotel,Portugal,166.0
Resort Hotel,International,115.0
Resort Hotel,Portugal,166.0
Resort Hotel,Portugal,120.6
Resort Hotel,International,162.0
Resort Hotel,Portugal,153.0
Resort Hotel,International,133.2
Resort Hotel,Portugal,134.0
Resort Hotel,International,107.0
Resort Hotel,Portugal,145.0
Resort Hotel,International,145.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,167.2
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,130.0
Resort Hotel,Portugal,164.0
Resort Hotel,Portugal,149.0
Resort Hotel,Portugal,154.0
Resort Hotel,Portugal,195.0
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,107.2
Resort Hotel,Portugal,164.0
Resort Hotel,Portugal,183.45
Resort Hotel,International,159.6
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,164.0
Resort Hotel,Portugal,219.43
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,164.0
Resort Hotel,International,107.2
Resort Hotel,International,102.72
Resort Hotel,International,114.85
Resort Hotel,International,114.85
Resort Hotel,Portugal,135.0
Resort Hotel,Portugal,195.0
Resort Hotel,Portugal,173.0
Resort Hotel,International,107.0
Resort Hotel,International,107.0
Resort Hotel,Portugal,164.0
Resort Hotel,Portugal,138.8
Resort Hotel,Portugal,154.0
Resort Hotel,International,135.0
Resort Hotel,International,103.18
Resort Hotel,Portugal,115.5
Resort Hotel,International,90.95
Resort Hotel,Portugal,108.54
Resort Hotel,Portugal,146.0
Resort Hotel,Portugal,165.4
Resort Hotel,International,134.0
Resort Hotel,Portugal,133.0
Resort Hotel,Portugal,240.0
Resort Hotel,Portugal,157.0
Resort Hotel,Portugal,188.0
Resort Hotel,Portugal,133.0
Resort Hotel,Portugal,145.0
Resort Hotel,International,134.0
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,186.0
Resort Hotel,International,90.95
Resort Hotel,Portugal,141.65
Resort Hotel,Portugal,99.24
Resort Hotel,International,108.06
Resort Hotel,Portugal,90.95
Resort Hotel,Portugal,148.63
Resort Hotel,Portugal,173.0
Resort Hotel,International,107.0
Resort Hotel,Portugal,114.0
Resort Hotel,Portugal,153.0
Resort Hotel,International,153.0
Resort Hotel,Portugal,250.33
Resort Hotel,Portugal,146.67
Resort Hotel,Portugal,154.0
Resort Hotel,Portugal,120.6
Resort Hotel,International,280.74
Resort Hotel,International,193.0
Resort Hotel,Portugal,146.67
Resort Hotel,Portugal,154.0
Resort Hotel,Portugal,154.5
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,137.8
Resort Hotel,Portugal,160.0
Resort Hotel,International,125.89
Resort Hotel,International,125.89
Resort Hotel,Portugal,126.71
Resort Hotel,Portugal,188.0
Resort Hotel,Portugal,153.0
Resort Hotel,Portugal,173.0
Resort Hotel,Portugal,173.0
Resort Hotel,Portugal,120.0
Resort Hotel,Portugal,154.8
Resort Hotel,Portugal,192.0
Resort Hotel,Portugal,153.0
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,192.0
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,164.0
Resort Hotel,Portugal,219.5
Resort Hotel,Portugal,192.5
Resort Hotel,Portugal,149.7
Resort Hotel,Portugal,111.92
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,149.7
Resort Hotel,Portugal,173.0
Resort Hotel,Portugal,112.0
Resort Hotel,International,57.6
Resort Hotel,Portugal,214.0
Resort Hotel,Portugal,172.0
Resort Hotel,International,157.8
Resort Hotel,International,170.33
Resort Hotel,International,119.25
Resort Hotel,Portugal,96.3
Resort Hotel,Portugal,118.06
Resort Hotel,Portugal,118.06
Resort Hotel,Portugal,154.0
Resort Hotel,Portugal,202.0
Resort Hotel,Portugal,134.0
Resort Hotel,Portugal,202.0
Resort Hotel,Portugal,252.0
Resort Hotel,Portugal,233.0
Resort Hotel,Portugal,211.0
Resort Hotel,Portugal,211.0
Resort Hotel,Portugal,237.0
Resort Hotel,International,188.29
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,177.14
Resort Hotel,Portugal,222.14
Resort Hotel,Portugal,127.82
Resort Hotel,Portugal,194.14
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,144.53
Resort Hotel,Portugal,185.0
Resort Hotel,Portugal,96.3
Resort Hotel,Portugal,193.13
Resort Hotel,Portugal,210.78
Resort Hotel,Portugal,169.0
Resort Hotel,Portugal,174.7
Resort Hotel,Portugal,135.53
Resort Hotel,Portugal,172.0
Resort Hotel,Portugal,144.0
Resort Hotel,Portugal,162.5
Resort Hotel,Portugal,209.6
Resort Hotel,Portugal,209.6
Resort Hotel,Portugal,195.5
Resort Hotel,Portugal,186.0
Resort Hotel,Portugal,163.5
Resort Hotel,Portugal,180.28
Resort Hotel,International,174.76
Resort Hotel,International,116.85
Resort Hotel,Portugal,159.0
Resort Hotel,Portugal,104.55
Resort Hotel,Portugal,144.76
Resort Hotel,Portugal,205.0
Resort Hotel,Portugal,123.0
Resort Hotel,Portugal,173.0
Resort Hotel,Portugal,220.55
Resort Hotel,International,162.14
Resort Hotel,Portugal,119.7
Resort Hotel,International,77.54
Resort Hotel,Portugal,120.6
Resort Hotel,Portugal,153.0
Resort Hotel,Portugal,172.0
Resort Hotel,Portugal,221.0
Resort Hotel,Portugal,153.0
Resort Hotel,Portugal,230.5
Resort Hotel,Portugal,230.5
Resort Hotel,Portugal,211.0
Resort Hotel,International,241.0
