previous_cancellations_group,adr
0 cancellations,195.0
0 cancellations,120.6
0 cancellations,123.2
0 cancellations,112.0
0 cancellations,123.2
0 cancellations,169.0
0 cancellations,198.0
0 cancellations,103.5
0 cancellations,135.6
0 cancellations,103.5
0 cancellations,184.0
0 cancellations,134.0
0 cancellations,147.0
0 cancellations,151.33
0 cancellations,121.33
0 cancellations,150.2
0 cancellations,139.0
0 cancellations,150.2
0 cancellations,75.44
0 cancellations,135.0
0 cancellations,166.0
0 cancellations,135.0
0 cancellations,130.0
0 cancellations,96.3
0 cancellations,160.0
0 cancellations,127.25
0 cancellations,164.0
0 cancellations,144.5
0 cancellations,112.0
0 cancellations,134.0
0 cancellations,127.25
0 cancellations,155.5
0 cancellations,110.5
0 cancellations,144.5
0 cancellations,144.5
0 cancellations,123.0
0 cancellations,120.6
0 cancellations,107.6
0 cancellations,120.6
0 cancellations,107.0
0 cancellations,133.75
0 cancellations,103.5
0 cancellations,84.8
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,84.8
0 cancellations,107.0
0 cancellations,195.0
0 cancellations,164.0
0 cancellations,195.0
0 cancellations,125.0
0 cancellations,195.0
0 cancellations,132.3
0 cancellations,145.0
0 cancellations,92.0
0 cancellations,132.3
0 cancellations,147.0
0 cancellations,167.0
0 cancellations,210.0
0 cancellations,194.9
0 cancellations,103.5
0 cancellations,118.5
0 cancellations,192.0
0 cancellations,128.27
0 cancellations,135.0
0 cancellations,126.3
0 cancellations,154.0
0 cancellations,96.3
0 cancellations,126.3
0 cancellations,136.0
0 cancellations,118.5
0 cancellations,116.33
0 cancellations,164.0
0 cancellations,147.67
0 cancellations,145.0
0 cancellations,147.0
0 cancellations,168.3
0 cancellations,167.0
0 cancellations,137.75
0 cancellations,145.0
0 cancellations,132.6
0 cancellations,147.0
0 cancellations,157.0
0 cancellations,210.0
0 cancellations,132.5
0 cancellations,98.02
0 cancellations,126.0
0 cancellations,173.0
0 cancellations,249.0
0 cancellations,186.5
0 cancellations,95.0
0 cancellations,241.5
0 cancellations,177.0
0 cancellations,153.73
0 cancellations,115.0
0 cancellations,127.03
0 cancellations,128.25
0 cancellations,128.25
0 cancellations,115.0
0 cancellations,135.0
0 cancellations,167.0
0 cancellations,135.0
0 cancellations,124.5
0 cancellations,98.0
0 cancellations,98.0
0 cancellations,135.0
0 cancellations,88.2
0 cancellations,120.6
0 cancellations,154.5
0 cancellations,145.0
0 cancellations,92.0
0 cancellations,154.0
0 cancellations,115.0
0 cancellations,110.53
0 cancellations,158.5
0 cancellations,131.37
0 cancellations,117.71
0 cancellations,123.0
0 cancellations,158.5
0 cancellations,117.84
0 cancellations,154.0
0 cancellations,116.85
0 cancellations,129.16
0 cancellations,214.0
0 cancellations,115.0
0 cancellations,123.0
0 cancellations,123.0
0 cancellations,195.0
0 cancellations,135.2
0 cancellations,123.0
0 cancellations,130.5
0 cancellations,123.0
0 cancellations,179.1
0 cancellations,115.0
0 cancellations,115.0
0 cancellations,103.5
0 cancellations,157.0
0 cancellations,135.0
0 cancellations,111.65
0 cancellations,135.0
0 cancellations,195.0
0 cancellations,104.0
0 cancellations,135.0
0 cancellations,214.0
0 cancellations,133.17
0 cancellations,141.33
0 cancellations,121.01
0 cancellations,240.64
0 cancellations,167.5
0 cancellations,152.43
0 cancellations,148.34
0 cancellations,167.0
0 cancellations,172.93
0 cancellations,179.1
0 cancellations,192.5
0 cancellations,92.0
0 cancellations,111.2
0 cancellations,141.6
0 cancellations,141.6
0 cancellations,141.6
0 cancellations,200.0
0 cancellations,200.0
0 cancellations,157.0
0 cancellations,99.5
0 cancellations,115.0
0 cancellations,195.0
0 cancellations,103.5
0 cancellations,207.0
0 cancellations,163.33
0 cancellations,151.86
0 cancellations,95.57
0 cancellations,112.05
0 cancellations,160.0
0 cancellations,103.18
0 cancellations,153.0
0 cancellations,119.75
0 cancellations,135.0
0 cancellations,167.69
0 cancellations,195.0
0 cancellations,135.0
0 cancellations,178.4
0 cancellations,154.0
0 cancellations,134.0
0 cancellations,112.0
0 cancellations,194.0
0 cancellations,153.0
0 cancellations,135.0
0 cancellations,184.0
0 cancellations,210.0
0 cancellations,139.0
0 cancellations,101.46
0 cancellations,145.0
0 cancellations,173.0
0 cancellations,217.05
0 cancellations,164.0
0 cancellations,173.0
0 cancellations,112.5
0 cancellations,153.0
0 cancellations,173.0
0 cancellations,153.0
0 cancellations,134.0
0 cancellations,153.0
0 cancellations,233.0
0 cancellations,154.0
0 cancellations,173.0
0 cancellations,135.0
0 cancellations,132.5
0 cancellations,222.67
0 cancellations,135.0
0 cancellations,107.0
0 cancellations,127.0
0 cancellations,135.0
0 cancellations,149.7
0 cancellations,161.25
0 cancellations,107.0
0 cancellations,75.44
0 cancellations,75.44
0 cancellations,115.0
0 cancellations,159.2
0 cancellations,163.29
0 cancellations,210.0
0 cancellations,154.0
0 cancellations,166.0
0 cancellations,132.5
0 cancellations,107.0
0 cancellations,121.98
0 cancellations,133.0
0 cancellations,107.0
0 cancellations,117.81
0 cancellations,107.0
0 cancellations,120.6
0 cancellations,147.0
0 cancellations,153.0
0 cancellations,153.0
0 cancellations,134.0
0 cancellations,153.0
0 cancellations,118.0
0 cancellations,134.0
0 cancellations,135.0
0 cancellations,158.77
0 cancellations,134.0
0 cancellations,134.0
0 cancellations,142.03
0 cancellations,240.0
0 cancellations,134.0
0 cancellations,134.0
0 cancellations,147.0
0 cancellations,176.0
0 cancellations,120.6
0 cancellations,166.0
0 cancellations,134.0
0 cancellations,147.0
0 cancellations,167.0
0 cancellations,107.2
0 cancellations,131.63
0 cancellations,233.05
0 cancellations,90.12
0 cancellations,120.6
0 cancellations,125.0
0 cancellations,154.0
0 cancellations,120.6
0 cancellations,114.25
0 cancellations,107.0
0 cancellations,88.55
0 cancellations,149.0
0 cancellations,195.0
0 cancellations,164.0
0 cancellations,154.0
0 cancellations,120.6
0 cancellations,103.5
0 cancellations,115.0
0 cancellations,95.02
0 cancellations,132.5
0 cancellations,209.0
0 cancellations,95.02
0 cancellations,132.5
0 cancellations,180.0
0 cancellations,103.18
0 cancellations,174.01
0 cancellations,133.0
0 cancellations,133.0
0 cancellations,107.2
0 cancellations,210.0
0 cancellations,145.0
0 cancellations,195.0
0 cancellations,124.2
0 cancellations,167.0
0 cancellations,145.0
0 cancellations,166.0
0 cancellations,115.0
0 cancellations,166.0
0 cancellations,120.6
0 cancellations,162.0
0 cancellations,153.0
0 cancellations,133.2
0 cancellations,134.0
0 cancellations,107.0
0 cancellations,145.0
0 cancellations,145.0
0 cancellations,107.0
0 cancellations,167.2
0 cancellations,134.0
0 cancellations,130.0
0 cancellations,164.0
0 cancellations,149.0
0 cancellations,154.0
0 cancellations,195.0
0 cancellations,134.0
0 cancellations,107.2
0 cancellations,164.0
0 cancellations,183.45
0 cancellations,159.6
0 cancellations,120.6
0 cancellations,164.0
0 cancellations,219.43
0 cancellations,134.0
0 cancellations,164.0
0 cancellations,107.2
0 cancellations,102.72
0 cancellations,114.85
0 cancellations,114.85
0 cancellations,135.0
0 cancellations,195.0
0 cancellations,173.0
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,164.0
0 cancellations,138.8
0 cancellations,154.0
0 cancellations,135.0
0 cancellations,103.18
0 cancellations,115.5
0 cancellations,90.95
0 cancellations,108.54
0 cancellations,146.0
0 cancellations,165.4
0 cancellations,134.0
0 cancellations,133.0
0 cancellations,240.0
0 cancellations,157.0
0 cancellations,188.0
0 cancellations,133.0
0 cancellations,145.0
0 cancellations,134.0
0 cancellations,134.0
0 cancellations,186.0
0 cancellations,90.95
0 cancellations,141.65
0 cancellations,99.24
0 cancellations,108.06
0 cancellations,90.95
0 cancellations,148.63
0 cancellations,173.0
0 cancellations,107.0
0 cancellations,114.0
0 cancellations,153.0
0 cancellations,153.0
0 cancellations,250.33
0 cancellations,146.67
0 cancellations,154.0
0 cancellations,120.6
0 cancellations,280.74
0 cancellations,193.0
0 cancellations,146.67
0 cancellations,154.0
0 cancellations,154.5
0 cancellations,120.6
0 cancellations,137.8
0 cancellations,160.0
0 cancellations,125.89
0 cancellations,125.89
0 cancellations,126.71
0 cancellations,188.0
0 cancellations,153.0
0 cancellations,173.0
0 cancellations,173.0
0 cancellations,120.0
0 cancellations,154.8
0 cancellations,192.0
0 cancellations,153.0
0 cancellations,120.6
0 cancellations,192.0
0 cancellations,120.6
0 cancellations,164.0
0 cancellations,219.5
0 cancellations,192.5
0 cancellations,149.7
0 cancellations,111.92
0 cancellations,120.6
0 cancellations,149.7
0 cancellations,173.0
0 cancellations,112.0
0 cancellations,57.6
0 cancellations,214.0
0 cancellations,172.0
0 cancellations,157.8
0 cancellations,170.33
0 cancellations,119.25
0 cancellations,96.3
0 cancellations,118.06
0 cancellations,118.06
0 cancellations,154.0
0 cancellations,202.0
0 cancellations,134.0
0 cancellations,202.0
0 cancellations,252.0
0 cancellations,233.0
0 cancellations,211.0
0 cancellations,211.0
0 cancellations,237.0
0 cancellations,188.29
0 cancellations,120.6
0 cancellations,177.14
0 cancellations,222.14
0 cancellations,127.82
0 cancellations,194.14
0 cancellations,120.6
0 cancellations,144.53
0 cancellations,185.0
0 cancellations,96.3
0 cancellations,193.13
0 cancellations,210.78
0 cancellations,169.0
0 cancellations,174.7
0 cancellations,135.53
0 cancellations,172.0
0 cancellations,144.0
0 cancellations,162.5
0 cancellations,209.6
0 cancellations,209.6
0 cancellations,195.5
0 cancellations,186.0
0 cancellations,163.5
0 cancellations,180.28
0 cancellations,174.76
0 cancellations,116.85
0 cancellations,159.0
0 cancellations,104.55
0 cancellations,144.76
0 cancellations,205.0
0 cancellations,123.0
0 cancellations,173.0
0 cancellations,220.55
0 cancellations,162.14
0 cancellations,119.7
0 cancellations,77.54
0 cancellations,120.6
0 cancellations,153.0
0 cancellations,172.0
0 cancellations,221.0
0 cancellations,153.0
0 cancellations,230.5
0 cancellations,230.5
0 cancellations,211.0
0 cancellations,241.0
0 cancellations,211.0
0 cancellations,90.95
0 cancellations,188.29
0 cancellations,90.95
0 cancellations,187.8
0 cancellations,172.0
0 cancellations,171.9
0 cancellations,200.0
0 cancellations,149.4
0 cancellations,154.0
0 cancellations,148.25
0 cancellations,172.0
0 cancellations,183.0
0 cancellations,242.6
0 cancellations,172.0
0 cancellations,168.71
0 cancellations,166.0
0 cancellations,112.0
0 cancellations,172.0
0 cancellations,120.6
0 cancellations,126.0
0 cancellations,268.0
0 cancellations,173.0
0 cancellations,149.2
0 cancellations,217.2
0 cancellations,239.3
0 cancellations,181.5
0 cancellations,154.0
0 cancellations,173.0
0 cancellations,181.9
0 cancellations,114.0
0 cancellations,267.0
0 cancellations,226.0
0 cancellations,173.0
0 cancellations,211.0
0 cancellations,191.0
0 cancellations,173.0
0 cancellations,173.0
0 cancellations,277.5
0 cancellations,134.0
0 cancellations,153.0
0 cancellations,186.0
0 cancellations,107.2
0 cancellations,221.0
0 cancellations,202.0
0 cancellations,169.0
0 cancellations,133.5
0 cancellations,154.38
0 cancellations,154.38
0 cancellations,205.0
0 cancellations,121.39
0 cancellations,171.9
0 cancellations,164.0
0 cancellations,134.0
0 cancellations,250.0
0 cancellations,208.0
0 cancellations,181.0
0 cancellations,172.0
0 cancellations,157.59
0 cancellations,211.75
0 cancellations,246.0
0 cancellations,108.54
0 cancellations,186.0
0 cancellations,205.0
0 cancellations,154.0
0 cancellations,200.71
0 cancellations,252.0
0 cancellations,135.2
0 cancellations,276.43
0 cancellations,228.0
0 cancellations,133.0
0 cancellations,205.0
0 cancellations,134.0
0 cancellations,119.7
0 cancellations,90.95
0 cancellations,138.0
0 cancellations,134.0
0 cancellations,173.0
0 cancellations,165.69
0 cancellations,195.0
0 cancellations,127.31
0 cancellations,134.0
0 cancellations,207.0
0 cancellations,211.5
0 cancellations,210.33
0 cancellations,211.0
0 cancellations,154.0
0 cancellations,145.4
0 cancellations,101.25
0 cancellations,179.38
0 cancellations,166.0
0 cancellations,202.0
0 cancellations,172.0
0 cancellations,277.0
0 cancellations,104.0
0 cancellations,133.0
0 cancellations,214.0
0 cancellations,130.0
0 cancellations,154.0
0 cancellations,106.4
0 cancellations,133.0
0 cancellations,120.0
0 cancellations,254.0
0 cancellations,192.0
0 cancellations,221.0
0 cancellations,120.6
0 cancellations,211.0
0 cancellations,147.6
0 cancellations,129.0
0 cancellations,205.0
0 cancellations,147.07
0 cancellations,107.2
0 cancellations,179.1
0 cancellations,164.65
0 cancellations,200.0
0 cancellations,134.0
0 cancellations,233.0
0 cancellations,190.0
0 cancellations,196.0
0 cancellations,185.57
0 cancellations,175.0
0 cancellations,175.0
0 cancellations,169.0
0 cancellations,134.0
0 cancellations,211.0
0 cancellations,134.0
0 cancellations,120.6
0 cancellations,120.6
0 cancellations,112.5
0 cancellations,164.0
0 cancellations,120.6
0 cancellations,154.0
0 cancellations,207.0
0 cancellations,214.0
0 cancellations,186.0
0 cancellations,154.0
0 cancellations,162.3
0 cancellations,186.0
0 cancellations,241.0
0 cancellations,274.93
0 cancellations,156.73
0 cancellations,156.73
0 cancellations,134.0
0 cancellations,134.0
0 cancellations,211.0
0 cancellations,200.7
0 cancellations,142.26
0 cancellations,196.0
0 cancellations,129.41
0 cancellations,98.02
0 cancellations,120.6
0 cancellations,191.0
0 cancellations,191.0
0 cancellations,252.0
0 cancellations,157.08
0 cancellations,258.33
0 cancellations,211.0
0 cancellations,211.0
0 cancellations,133.21
0 cancellations,173.5
0 cancellations,90.95
0 cancellations,90.95
0 cancellations,90.95
0 cancellations,134.0
0 cancellations,120.6
0 cancellations,172.0
0 cancellations,184.45
0 cancellations,158.0
0 cancellations,184.45
0 cancellations,120.6
0 cancellations,114.14
0 cancellations,168.8
0 cancellations,178.33
0 cancellations,255.0
0 cancellations,178.33
0 cancellations,196.0
0 cancellations,87.91
0 cancellations,211.0
0 cancellations,187.2
0 cancellations,154.0
0 cancellations,243.0
0 cancellations,222.2
0 cancellations,243.0
0 cancellations,178.2
0 cancellations,107.2
0 cancellations,203.0
0 cancellations,173.0
0 cancellations,172.0
0 cancellations,120.6
0 cancellations,172.0
0 cancellations,266.4
0 cancellations,236.0
0 cancellations,271.0
0 cancellations,232.0
0 cancellations,223.0
0 cancellations,178.67
0 cancellations,133.0
0 cancellations,195.5
0 cancellations,167.25
0 cancellations,209.0
0 cancellations,166.0
0 cancellations,195.8
0 cancellations,229.0
0 cancellations,160.0
0 cancellations,266.0
0 cancellations,96.3
0 cancellations,107.0
0 cancellations,262.0
0 cancellations,182.5
0 cancellations,157.0
0 cancellations,234.0
0 cancellations,242.5
0 cancellations,157.0
0 cancellations,158.4
0 cancellations,208.0
0 cancellations,183.45
0 cancellations,131.2
0 cancellations,133.0
0 cancellations,135.0
0 cancellations,133.0
0 cancellations,248.0
0 cancellations,209.2
0 cancellations,107.0
0 cancellations,299.33
0 cancellations,156.45
0 cancellations,135.0
0 cancellations,149.0
0 cancellations,107.0
0 cancellations,135.0
0 cancellations,135.0
0 cancellations,145.75
0 cancellations,132.6
0 cancellations,200.71
0 cancellations,198.71
0 cancellations,218.0
0 cancellations,101.65
0 cancellations,186.0
0 cancellations,160.0
0 cancellations,188.71
0 cancellations,107.0
0 cancellations,181.94
0 cancellations,172.0
0 cancellations,172.0
0 cancellations,185.0
0 cancellations,172.0
0 cancellations,172.0
0 cancellations,184.45
0 cancellations,195.0
0 cancellations,172.0
0 cancellations,172.0
0 cancellations,153.0
0 cancellations,184.45
0 cancellations,184.45
0 cancellations,185.0
0 cancellations,108.54
0 cancellations,154.0
0 cancellations,248.0
0 cancellations,150.53
0 cancellations,150.53
0 cancellations,154.0
0 cancellations,223.99
0 cancellations,154.0
0 cancellations,154.0
0 cancellations,154.0
0 cancellations,214.0
0 cancellations,96.3
0 cancellations,175.79
0 cancellations,134.0
0 cancellations,134.0
0 cancellations,183.0
0 cancellations,149.4
0 cancellations,165.11
0 cancellations,209.4
0 cancellations,134.0
0 cancellations,225.9
0 cancellations,131.1
0 cancellations,134.0
0 cancellations,187.0
0 cancellations,133.0
0 cancellations,101.65
0 cancellations,133.0
0 cancellations,120.0
0 cancellations,133.0
0 cancellations,133.0
0 cancellations,133.0
0 cancellations,134.0
0 cancellations,87.9
0 cancellations,202.0
0 cancellations,213.0
0 cancellations,172.55
0 cancellations,172.0
0 cancellations,172.0
0 cancellations,213.0
0 cancellations,179.0
0 cancellations,236.0
0 cancellations,229.67
0 cancellations,135.2
0 cancellations,121.5
0 cancellations,96.3
0 cancellations,96.3
0 cancellations,120.6
0 cancellations,176.64
0 cancellations,179.86
0 cancellations,187.0
0 cancellations,134.0
0 cancellations,239.5
0 cancellations,153.0
0 cancellations,166.0
0 cancellations,186.25
0 cancellations,192.0
0 cancellations,120.6
0 cancellations,220.4
0 cancellations,241.0
0 cancellations,241.0
0 cancellations,211.0
0 cancellations,134.0
0 cancellations,241.0
0 cancellations,8.0
0 cancellations,196.0
0 cancellations,198.0
0 cancellations,158.5
0 cancellations,200.0
0 cancellations,107.0
0 cancellations,163.23
0 cancellations,222.07
0 cancellations,229.0
0 cancellations,133.0
0 cancellations,164.0
0 cancellations,176.8
0 cancellations,134.0
0 cancellations,163.35
0 cancellations,171.9
0 cancellations,171.9
0 cancellations,213.5
0 cancellations,125.0
0 cancellations,178.33
0 cancellations,176.75
0 cancellations,123.0
0 cancellations,134.0
0 cancellations,146.0
0 cancellations,192.0
0 cancellations,183.0
0 cancellations,236.0
0 cancellations,191.0
0 cancellations,178.33
0 cancellations,248.0
0 cancellations,188.71
0 cancellations,123.04
0 cancellations,260.71
0 cancellations,222.0
0 cancellations,174.71
0 cancellations,118.7
0 cancellations,116.85
0 cancellations,129.55
0 cancellations,172.0
0 cancellations,172.0
0 cancellations,164.0
0 cancellations,179.83
0 cancellations,172.0
0 cancellations,160.43
0 cancellations,149.0
0 cancellations,134.0
0 cancellations,146.3
0 cancellations,161.26
0 cancellations,195.45
0 cancellations,133.0
0 cancellations,186.25
0 cancellations,162.29
0 cancellations,221.43
0 cancellations,177.57
0 cancellations,133.0
0 cancellations,178.0
0 cancellations,146.3
0 cancellations,218.5
0 cancellations,151.89
0 cancellations,148.3
0 cancellations,96.3
0 cancellations,166.0
0 cancellations,96.3
0 cancellations,149.0
0 cancellations,151.95
0 cancellations,191.67
0 cancellations,211.0
0 cancellations,149.4
0 cancellations,201.0
0 cancellations,211.0
0 cancellations,259.0
0 cancellations,164.4
0 cancellations,134.0
0 cancellations,134.0
0 cancellations,229.0
