hotel,adr
Resort Hotel,80.1
Resort Hotel,193.0
Resort Hotel,88.2
Resort Hotel,90.71
Resort Hotel,114.5
Resort Hotel,120.2
Resort Hotel,79.5
Resort Hotel,117.9
Resort Hotel,128.0
Resort Hotel,90.95
Resort Hotel,107.0
Resort Hotel,130.05
Resort Hotel,123.0
Resort Hotel,103.8
Resort Hotel,196.0
Resort Hotel,149.4
Resort Hotel,175.71
Resort Hotel,119.7
Resort Hotel,100.86
Resort Hotel,100.86
Resort Hotel,82.0
Resort Hotel,73.8
Resort Hotel,117.9
Resort Hotel,82.0
Resort Hotel,150.0
Resort Hotel,161.0
Resort Hotel,64.0
Resort Hotel,123.0
Resort Hotel,110.0
Resort Hotel,88.2
Resort Hotel,130.0
Resort Hotel,88.2
Resort Hotel,165.0
Resort Hotel,114.0
Resort Hotel,79.5
Resort Hotel,132.8
Resort Hotel,120.0
Resort Hotel,79.5
Resort Hotel,120.0
Resort Hotel,144.2
Resort Hotel,107.2
Resort Hotel,120.0
Resort Hotel,120.0
Resort Hotel,163.8
Resort Hotel,98.5
Resort Hotel,130.5
Resort Hotel,153.0
Resort Hotel,98.5
Resort Hotel,119.7
Resort Hotel,184.6
Resort Hotel,181.22
Resort Hotel,100.86
Resort Hotel,100.2
Resort Hotel,134.25
Resort Hotel,96.3
Resort Hotel,83.09
Resort Hotel,105.5
Resort Hotel,134.0
Resort Hotel,8.0
Resort Hotel,146.0
Resort Hotel,126.0
Resort Hotel,111.15
Resort Hotel,136.2
Resort Hotel,101.8
Resort Hotel,127.0
Resort Hotel,161.5
Resort Hotel,230.67
Resort Hotel,65.7
Resort Hotel,180.0
Resort Hotel,168.57
Resort Hotel,107.67
Resort Hotel,96.9
Resort Hotel,107.0
Resort Hotel,73.41
Resort Hotel,109.9
Resort Hotel,109.9
Resort Hotel,187.5
Resort Hotel,134.0
Resort Hotel,91.5
Resort Hotel,132.44
Resort Hotel,106.9
Resort Hotel,131.86
Resort Hotel,216.13
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,190.33
Resort Hotel,107.0
Resort Hotel,94.0
Resort Hotel,98.75
Resort Hotel,148.23
Resort Hotel,94.0
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,148.23
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,98.75
Resort Hotel,195.0
Resort Hotel,120.6
Resort Hotel,123.2
Resort Hotel,112.0
Resort Hotel,123.2
Resort Hotel,169.0
Resort Hotel,198.0
Resort Hotel,103.5
Resort Hotel,135.6
Resort Hotel,103.5
Resort Hotel,184.0
Resort Hotel,134.0
Resort Hotel,147.0
Resort Hotel,151.33
Resort Hotel,121.33
Resort Hotel,150.2
Resort Hotel,139.0
Resort Hotel,150.2
Resort Hotel,75.44
Resort Hotel,135.0
Resort Hotel,166.0
Resort Hotel,135.0
Resort Hotel,130.0
Resort Hotel,96.3
Resort Hotel,160.0
Resort Hotel,127.25
Resort Hotel,164.0
Resort Hotel,144.5
Resort Hotel,112.0
Resort Hotel,134.0
Resort Hotel,127.25
Resort Hotel,155.5
Resort Hotel,110.5
Resort Hotel,144.5
Resort Hotel,144.5
Resort Hotel,123.0
Resort Hotel,120.6
Resort Hotel,107.6
Resort Hotel,120.6
Resort Hotel,107.0
Resort Hotel,133.75
Resort Hotel,103.5
Resort Hotel,84.8
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,84.8
Resort Hotel,107.0
Resort Hotel,195.0
Resort Hotel,164.0
Resort Hotel,195.0
Resort Hotel,125.0
Resort Hotel,195.0
Resort Hotel,132.3
Resort Hotel,145.0
Resort Hotel,92.0
Resort Hotel,132.3
Resort Hotel,147.0
Resort Hotel,167.0
Resort Hotel,210.0
Resort Hotel,194.9
Resort Hotel,103.5
Resort Hotel,118.5
Resort Hotel,192.0
Resort Hotel,128.27
Resort Hotel,135.0
Resort Hotel,126.3
Resort Hotel,154.0
Resort Hotel,96.3
Resort Hotel,126.3
Resort Hotel,136.0
Resort Hotel,118.5
Resort Hotel,116.33
Resort Hotel,164.0
Resort Hotel,147.67
Resort Hotel,145.0
Resort Hotel,147.0
Resort Hotel,168.3
Resort Hotel,167.0
Resort Hotel,137.75
Resort Hotel,145.0
Resort Hotel,132.6
Resort Hotel,147.0
Resort Hotel,157.0
Resort Hotel,210.0
Resort Hotel,132.5
Resort Hotel,98.02
Resort Hotel,126.0
Resort Hotel,173.0
Resort Hotel,249.0
Resort Hotel,186.5
Resort Hotel,95.0
Resort Hotel,241.5
Resort Hotel,177.0
Resort Hotel,153.73
Resort Hotel,115.0
Resort Hotel,127.03
Resort Hotel,128.25
Resort Hotel,128.25
Resort Hotel,115.0
Resort Hotel,135.0
Resort Hotel,167.0
Resort Hotel,135.0
Resort Hotel,124.5
Resort Hotel,98.0
Resort Hotel,98.0
Resort Hotel,135.0
Resort Hotel,88.2
Resort Hotel,120.6
Resort Hotel,154.5
Resort Hotel,145.0
Resort Hotel,92.0
Resort Hotel,154.0
Resort Hotel,115.0
Resort Hotel,110.53
Resort Hotel,158.5
Resort Hotel,131.37
Resort Hotel,117.71
Resort Hotel,123.0
Resort Hotel,158.5
Resort Hotel,117.84
Resort Hotel,154.0
Resort Hotel,116.85
Resort Hotel,129.16
Resort Hotel,214.0
Resort Hotel,115.0
Resort Hotel,123.0
Resort Hotel,123.0
Resort Hotel,195.0
Resort Hotel,135.2
Resort Hotel,123.0
Resort Hotel,130.5
Resort Hotel,123.0
Resort Hotel,179.1
Resort Hotel,115.0
Resort Hotel,115.0
Resort Hotel,103.5
Resort Hotel,157.0
Resort Hotel,135.0
Resort Hotel,111.65
Resort Hotel,135.0
Resort Hotel,195.0
Resort Hotel,104.0
Resort Hotel,135.0
Resort Hotel,214.0
Resort Hotel,133.17
Resort Hotel,141.33
Resort Hotel,121.01
Resort Hotel,240.64
Resort Hotel,167.5
Resort Hotel,152.43
Resort Hotel,148.34
Resort Hotel,167.0
Resort Hotel,172.93
Resort Hotel,179.1
Resort Hotel,192.5
Resort Hotel,92.0
Resort Hotel,111.2
Resort Hotel,141.6
Resort Hotel,141.6
Resort Hotel,141.6
Resort Hotel,200.0
Resort Hotel,200.0
Resort Hotel,157.0
Resort Hotel,99.5
Resort Hotel,115.0
Resort Hotel,195.0
Resort Hotel,103.5
Resort Hotel,207.0
Resort Hotel,163.33
Resort Hotel,151.86
Resort Hotel,95.57
Resort Hotel,112.05
Resort Hotel,160.0
Resort Hotel,103.18
Resort Hotel,153.0
Resort Hotel,119.75
Resort Hotel,135.0
Resort Hotel,167.69
Resort Hotel,195.0
Resort Hotel,135.0
Resort Hotel,178.4
Resort Hotel,154.0
Resort Hotel,134.0
Resort Hotel,112.0
Resort Hotel,194.0
Resort Hotel,153.0
Resort Hotel,135.0
Resort Hotel,184.0
Resort Hotel,210.0
Resort Hotel,139.0
Resort Hotel,101.46
Resort Hotel,145.0
Resort Hotel,173.0
Resort Hotel,217.05
Resort Hotel,164.0
Resort Hotel,173.0
Resort Hotel,112.5
Resort Hotel,153.0
Resort Hotel,173.0
Resort Hotel,153.0
Resort Hotel,134.0
Resort Hotel,153.0
Resort Hotel,233.0
Resort Hotel,154.0
Resort Hotel,173.0
Resort Hotel,135.0
Resort Hotel,132.5
Resort Hotel,222.67
Resort Hotel,135.0
Resort Hotel,107.0
Resort Hotel,127.0
Resort Hotel,135.0
Resort Hotel,149.7
Resort Hotel,161.25
Resort Hotel,107.0
Resort Hotel,75.44
Resort Hotel,75.44
Resort Hotel,115.0
Resort Hotel,159.2
Resort Hotel,163.29
Resort Hotel,210.0
Resort Hotel,154.0
Resort Hotel,166.0
Resort Hotel,132.5
Resort Hotel,107.0
Resort Hotel,121.98
Resort Hotel,133.0
Resort Hotel,107.0
Resort Hotel,117.81
Resort Hotel,107.0
Resort Hotel,120.6
Resort Hotel,147.0
Resort Hotel,153.0
Resort Hotel,153.0
Resort Hotel,134.0
Resort Hotel,153.0
Resort Hotel,118.0
Resort Hotel,134.0
Resort Hotel,135.0
Resort Hotel,158.77
Resort Hotel,134.0
Resort Hotel,134.0
Resort Hotel,142.03
Resort Hotel,240.0
Resort Hotel,134.0
Resort Hotel,134.0
Resort Hotel,147.0
Resort Hotel,176.0
Resort Hotel,120.6
Resort Hotel,166.0
Resort Hotel,134.0
Resort Hotel,147.0
Resort Hotel,167.0
Resort Hotel,107.2
Resort Hotel,131.63
Resort Hotel,233.05
Resort Hotel,90.12
Resort Hotel,120.6
Resort Hotel,125.0
Resort Hotel,154.0
Resort Hotel,120.6
Resort Hotel,114.25
Resort Hotel,107.0
Resort Hotel,88.55
Resort Hotel,149.0
Resort Hotel,195.0
Resort Hotel,164.0
Resort Hotel,154.0
Resort Hotel,120.6
Resort Hotel,103.5
Resort Hotel,115.0
Resort Hotel,95.02
Resort Hotel,132.5
Resort Hotel,209.0
Resort Hotel,95.02
Resort Hotel,132.5
Resort Hotel,180.0
Resort Hotel,103.18
Resort Hotel,174.01
Resort Hotel,133.0
Resort Hotel,133.0
Resort Hotel,107.2
Resort Hotel,210.0
Resort Hotel,145.0
Resort Hotel,195.0
Resort Hotel,124.2
Resort Hotel,167.0
Resort Hotel,145.0
Resort Hotel,166.0
Resort Hotel,115.0
Resort Hotel,166.0
Resort Hotel,120.6
Resort Hotel,162.0
Resort Hotel,153.0
Resort Hotel,133.2
Resort Hotel,134.0
Resort Hotel,107.0
Resort Hotel,145.0
Resort Hotel,145.0
Resort Hotel,107.0
Resort Hotel,167.2
Resort Hotel,134.0
Resort Hotel,130.0
Resort Hotel,164.0
Resort Hotel,149.0
Resort Hotel,154.0
Resort Hotel,195.0
Resort Hotel,134.0
Resort Hotel,107.2
Resort Hotel,164.0
Resort Hotel,183.45
Resort Hotel,159.6
Resort Hotel,120.6
Resort Hotel,164.0
Resort Hotel,219.43
Resort Hotel,134.0
Resort Hotel,164.0
Resort Hotel,107.2
Resort Hotel,102.72
Resort Hotel,114.85
Resort Hotel,114.85
Resort Hotel,135.0
Resort Hotel,195.0
Resort Hotel,173.0
Resort Hotel,107.0
Resort Hotel,107.0
Resort Hotel,164.0
Resort Hotel,138.8
Resort Hotel,154.0
Resort Hotel,135.0
Resort Hotel,103.18
Resort Hotel,115.5
Resort Hotel,90.95
Resort Hotel,108.54
Resort Hotel,146.0
Resort Hotel,165.4
Resort Hotel,134.0
Resort Hotel,133.0
Resort Hotel,240.0
Resort Hotel,157.0
Resort Hotel,188.0
Resort Hotel,133.0
Resort Hotel,145.0
Resort Hotel,134.0
Resort Hotel,134.0
Resort Hotel,186.0
Resort Hotel,90.95
Resort Hotel,141.65
Resort Hotel,99.24
Resort Hotel,108.06
Resort Hotel,90.95
Resort Hotel,148.63
Resort Hotel,173.0
Resort Hotel,107.0
Resort Hotel,114.0
Resort Hotel,153.0
Resort Hotel,153.0
Resort Hotel,250.33
Resort Hotel,146.67
Resort Hotel,154.0
Resort Hotel,120.6
Resort Hotel,280.74
Resort Hotel,193.0
Resort Hotel,146.67
Resort Hotel,154.0
Resort Hotel,154.5
Resort Hotel,120.6
Resort Hotel,137.8
Resort Hotel,160.0
Resort Hotel,125.89
Resort Hotel,125.89
Resort Hotel,126.71
Resort Hotel,188.0
Resort Hotel,153.0
Resort Hotel,173.0
Resort Hotel,173.0
Resort Hotel,120.0
Resort Hotel,154.8
Resort Hotel,192.0
Resort Hotel,153.0
Resort Hotel,120.6
Resort Hotel,192.0
Resort Hotel,120.6
Resort Hotel,164.0
Resort Hotel,219.5
Resort Hotel,192.5
Resort Hotel,149.7
Resort Hotel,111.92
Resort Hotel,120.6
Resort Hotel,149.7
Resort Hotel,173.0
Resort Hotel,112.0
Resort Hotel,57.6
Resort Hotel,214.0
Resort Hotel,172.0
Resort Hotel,157.8
Resort Hotel,170.33
Resort Hotel,119.25
Resort Hotel,96.3
Resort Hotel,118.06
Resort Hotel,118.06
Resort Hotel,154.0
Resort Hotel,202.0
Resort Hotel,134.0
Resort Hotel,202.0
Resort Hotel,252.0
Resort Hotel,233.0
Resort Hotel,211.0
Resort Hotel,211.0
Resort Hotel,237.0
Resort Hotel,188.29
Resort Hotel,120.6
Resort Hotel,177.14
Resort Hotel,222.14
Resort Hotel,127.82
Resort Hotel,194.14
Resort Hotel,120.6
Resort Hotel,144.53
Resort Hotel,185.0
Resort Hotel,96.3
Resort Hotel,193.13
Resort Hotel,210.78
Resort Hotel,169.0
Resort Hotel,174.7
Resort Hotel,135.53
Resort Hotel,172.0
Resort Hotel,144.0
Resort Hotel,162.5
Resort Hotel,209.6
Resort Hotel,209.6
Resort Hotel,195.5
Resort Hotel,186.0
Resort Hotel,163.5
Resort Hotel,180.28
Resort Hotel,174.76
Resort Hotel,116.85
Resort Hotel,159.0
Resort Hotel,104.55
Resort Hotel,144.76
Resort Hotel,205.0
Resort Hotel,123.0
Resort Hotel,173.0
Resort Hotel,220.55
Resort Hotel,162.14
Resort Hotel,119.7
Resort Hotel,77.54
Resort Hotel,120.6
Resort Hotel,153.0
Resort Hotel,172.0
Resort Hotel,221.0
Resort Hotel,153.0
Resort Hotel,230.5
Resort Hotel,230.5
Resort Hotel,211.0
Resort Hotel,241.0
Resort Hotel,211.0
Resort Hotel,90.95
Resort Hotel,188.29
Resort Hotel,90.95
Resort Hotel,187.8
Resort Hotel,172.0
Resort Hotel,171.9
Resort Hotel,200.0
Resort Hotel,149.4
Resort Hotel,154.0
Resort Hotel,148.25
Resort Hotel,172.0
Resort Hotel,183.0
Resort Hotel,242.6
Resort Hotel,172.0
Resort Hotel,168.71
Resort Hotel,166.0
Resort Hotel,112.0
Resort Hotel,172.0
Resort Hotel,120.6
Resort Hotel,126.0
Resort Hotel,268.0
Resort Hotel,173.0
Resort Hotel,149.2
Resort Hotel,217.2
Resort Hotel,239.3
Resort Hotel,181.5
Resort Hotel,154.0
Resort Hotel,173.0
Resort Hotel,181.9
Resort Hotel,114.0
Resort Hotel,267.0
Resort Hotel,226.0
Resort Hotel,173.0
Resort Hotel,211.0
Resort Hotel,191.0
Resort Hotel,173.0
Resort Hotel,173.0
Resort Hotel,277.5
Resort Hotel,134.0
Resort Hotel,153.0
Resort Hotel,186.0
Resort Hotel,107.2
Resort Hotel,221.0
Resort Hotel,202.0
Resort Hotel,169.0
Resort Hotel,133.5
Resort Hotel,154.38
Resort Hotel,154.38
Resort Hotel,205.0
Resort Hotel,121.39
Resort Hotel,171.9
Resort Hotel,164.0
Resort Hotel,134.0
Resort Hotel,250.0
Resort Hotel,208.0
Resort Hotel,181.0
Resort Hotel,172.0
Resort Hotel,157.59
Resort Hotel,211.75
Resort Hotel,246.0
Resort Hotel,108.54
Resort Hotel,186.0
Resort Hotel,205.0
Resort Hotel,154.0
Resort Hotel,200.71
Resort Hotel,252.0
Resort Hotel,135.2
Resort Hotel,276.43
Resort Hotel,228.0
Resort Hotel,133.0
Resort Hotel,205.0
Resort Hotel,134.0
Resort Hotel,119.7
Resort Hotel,90.95
Resort Hotel,138.0
Resort Hotel,134.0
Resort Hotel,173.0
Resort Hotel,165.69
Resort Hotel,195.0
Resort Hotel,127.31
Resort Hotel,134.0
Resort Hotel,207.0
Resort Hotel,211.5
Resort Hotel,210.33
Resort Hotel,211.0
Resort Hotel,154.0
Resort Hotel,145.4
Resort Hotel,101.25
Resort Hotel,179.38
Resort Hotel,166.0
Resort Hotel,202.0
Resort Hotel,172.0
Resort Hotel,277.0
Resort Hotel,104.0
Resort Hotel,133.0
Resort Hotel,214.0
Resort Hotel,130.0
Resort Hotel,154.0
Resort Hotel,106.4
Resort Hotel,133.0
Resort Hotel,120.0
Resort Hotel,254.0
Resort Hotel,192.0
Resort Hotel,221.0
Resort Hotel,120.6
Resort Hotel,211.0
Resort Hotel,147.6
Resort Hotel,129.0
Resort Hotel,205.0
Resort Hotel,147.07
Resort Hotel,107.2
Resort Hotel,179.1
Resort Hotel,164.65
Resort Hotel,200.0
Resort Hotel,134.0
Resort Hotel,233.0
Resort Hotel,190.0
Resort Hotel,196.0
Resort Hotel,185.57
Resort Hotel,175.0
Resort Hotel,175.0
Resort Hotel,169.0
Resort Hotel,134.0
Resort Hotel,211.0
Resort Hotel,134.0
Resort Hotel,120.6
Resort Hotel,120.6
Resort Hotel,112.5
Resort Hotel,164.0
Resort Hotel,120.6
Resort Hotel,154.0
Resort Hotel,207.0
Resort Hotel,214.0
Resort Hotel,186.0
Resort Hotel,154.0
Resort Hotel,162.3
Resort Hotel,186.0
Resort Hotel,241.0
Resort Hotel,274.93
Resort Hotel,156.73
Resort Hotel,156.73
Resort Hotel,134.0
Resort Hotel,134.0
Resort Hotel,211.0
Resort Hotel,200.7
Resort Hotel,142.26
Resort Hotel,196.0
Resort Hotel,129.41
Resort Hotel,98.02
Resort Hotel,120.6
Resort Hotel,191.0
Resort Hotel,191.0
Resort Hotel,252.0
Resort Hotel,157.08
Resort Hotel,258.33
Resort Hotel,211.0
Resort Hotel,211.0
Resort Hotel,133.21
Resort Hotel,173.5
Resort Hotel,90.95
Resort Hotel,90.95
Resort Hotel,90.95
Resort Hotel,134.0
Resort Hotel,120.6
Resort Hotel,172.0
Resort Hotel,184.45
Resort Hotel,158.0
Resort Hotel,184.45
Resort Hotel,120.6
Resort Hotel,114.14
Resort Hotel,168.8
Resort Hotel,178.33
Resort Hotel,255.0
Resort Hotel,178.33
Resort Hotel,196.0
Resort Hotel,87.91
Resort Hotel,211.0
Resort Hotel,187.2
Resort Hotel,154.0
Resort Hotel,243.0
Resort Hotel,222.2
Resort Hotel,243.0
Resort Hotel,178.2
Resort Hotel,107.2
Resort Hotel,203.0
Resort Hotel,173.0
Resort Hotel,172.0
Resort Hotel,120.6
Resort Hotel,172.0
Resort Hotel,266.4
Resort Hotel,236.0
Resort Hotel,271.0
Resort Hotel,232.0
Resort Hotel,223.0
Resort Hotel,178.67
Resort Hotel,133.0
Resort Hotel,195.5
Resort Hotel,167.25
Resort Hotel,209.0
Resort Hotel,166.0
Resort Hotel,195.8
Resort Hotel,229.0
Resort Hotel,160.0
Resort Hotel,266.0
Resort Hotel,96.3
Resort Hotel,107.0
Resort Hotel,262.0
Resort Hotel,182.5
Resort Hotel,157.0
Resort Hotel,234.0
Resort Hotel,242.5
Resort Hotel,157.0
Resort Hotel,158.4
Resort Hotel,208.0
Resort Hotel,183.45
Resort Hotel,131.2
Resort Hotel,133.0
Resort Hotel,135.0
Resort Hotel,133.0
Resort Hotel,248.0
Resort Hotel,209.2
Resort Hotel,107.0
Resort Hotel,299.33
Resort Hotel,156.45
Resort Hotel,135.0
Resort Hotel,149.0
Resort Hotel,107.0
Resort Hotel,135.0
Resort Hotel,135.0
Resort Hotel,145.75
Resort Hotel,132.6
Resort Hotel,200.71
Resort Hotel,198.71
Resort Hotel,218.0
Resort Hotel,101.65
Resort Hotel,186.0
Resort Hotel,160.0
Resort Hotel,188.71
Resort Hotel,107.0
Resort Hotel,181.94
Resort Hotel,172.0
Resort Hotel,172.0
Resort Hotel,185.0
Resort Hotel,172.0
Resort Hotel,172.0
Resort Hotel,184.45
Resort Hotel,195.0
Resort Hotel,172.0
Resort Hotel,172.0
Resort Hotel,153.0
Resort Hotel,184.45
Resort Hotel,184.45
Resort Hotel,185.0
Resort Hotel,108.54
Resort Hotel,154.0
Resort Hotel,248.0
Resort Hotel,150.53
Resort Hotel,150.53
Resort Hotel,154.0
Resort Hotel,223.99
Resort Hotel,154.0
Resort Hotel,154.0
Resort Hotel,154.0
Resort Hotel,214.0
Resort Hotel,96.3
Resort Hotel,175.79
Resort Hotel,134.0
Resort Hotel,134.0
Resort Hotel,183.0
Resort Hotel,149.4
Resort Hotel,165.11
Resort Hotel,209.4
Resort Hotel,134.0
Resort Hotel,225.9
Resort Hotel,131.1
Resort Hotel,134.0
Resort Hotel,187.0
Resort Hotel,133.0
Resort Hotel,101.65
Resort Hotel,133.0
Resort Hotel,120.0
Resort Hotel,133.0
Resort Hotel,133.0
Resort Hotel,133.0
Resort Hotel,134.0
