hotel,tipo,adr
Resort Hotel,work+rest,89.97
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,123.0
Resort Hotel,work,123.0
Resort Hotel,work,144.9
Resort Hotel,work,153.0
Resort Hotel,work,131.0
Resort Hotel,work+rest,100.0
Resort Hotel,work+rest,65.5
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,131.0
Resort Hotel,work+rest,104.68
Resort Hotel,work+rest,166.0
Resort Hotel,rest,111.25
Resort Hotel,rest,213.75
Resort Hotel,rest,178.0
Resort Hotel,work+rest,113.9
Resort Hotel,work+rest,129.29
Resort Hotel,weekend,153.0
Resort Hotel,weekend,98.0
Resort Hotel,work+rest,169.0
Resort Hotel,work+rest,93.0
Resort Hotel,work+rest,132.29
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,117.22
Resort Hotel,work+rest,149.0
Resort Hotel,work+rest,164.57
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,117.22
Resort Hotel,work+rest,119.25
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,105.71
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,144.43
Resort Hotel,package,126.0
Resort Hotel,package,148.3
Resort Hotel,package,125.22
Resort Hotel,rest,123.0
Resort Hotel,rest,130.0
Resort Hotel,work+rest,78.84
Resort Hotel,weekend,80.1
Resort Hotel,weekend,193.0
Resort Hotel,weekend,88.2
Resort Hotel,weekend,90.71
Resort Hotel,weekend,114.5
Resort Hotel,weekend,120.2
Resort Hotel,work+rest,79.5
Resort Hotel,work+rest,117.9
Resort Hotel,work+rest,128.0
Resort Hotel,work+rest,90.95
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,130.05
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,103.8
Resort Hotel,work+rest,196.0
Resort Hotel,work+rest,149.4
Resort Hotel,work+rest,175.71
Resort Hotel,work+rest,119.7
Resort Hotel,work+rest,100.86
Resort Hotel,work+rest,100.86
Resort Hotel,work+rest,82.0
Resort Hotel,work+rest,73.8
Resort Hotel,work+rest,117.9
Resort Hotel,work+rest,82.0
Resort Hotel,work+rest,150.0
Resort Hotel,work+rest,161.0
Resort Hotel,work+rest,64.0
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,110.0
Resort Hotel,work+rest,88.2
Resort Hotel,work+rest,130.0
Resort Hotel,work+rest,88.2
Resort Hotel,work+rest,165.0
Resort Hotel,work+rest,114.0
Resort Hotel,work+rest,79.5
Resort Hotel,work+rest,132.8
Resort Hotel,work+rest,120.0
Resort Hotel,work+rest,79.5
Resort Hotel,work+rest,120.0
Resort Hotel,work+rest,144.2
Resort Hotel,work+rest,107.2
Resort Hotel,work+rest,120.0
Resort Hotel,work+rest,120.0
Resort Hotel,work+rest,163.8
Resort Hotel,work+rest,98.5
Resort Hotel,work+rest,130.5
Resort Hotel,work+rest,153.0
Resort Hotel,work+rest,98.5
Resort Hotel,work+rest,119.7
Resort Hotel,work+rest,184.6
Resort Hotel,work+rest,181.22
Resort Hotel,work+rest,100.86
Resort Hotel,weekend,100.2
Resort Hotel,work+rest,134.25
Resort Hotel,package,96.3
Resort Hotel,rest,83.09
Resort Hotel,work,105.5
Resort Hotel,work,134.0
Resort Hotel,work,8.0
Resort Hotel,work,146.0
Resort Hotel,work,126.0
Resort Hotel,work,111.15
Resort Hotel,work,136.2
Resort Hotel,work,101.8
Resort Hotel,work+rest,127.0
Resort Hotel,work+rest,161.5
Resort Hotel,work+rest,230.67
Resort Hotel,work+rest,65.7
Resort Hotel,work+rest,180.0
Resort Hotel,work+rest,168.57
Resort Hotel,rest,107.67
Resort Hotel,rest,96.9
Resort Hotel,rest,107.0
Resort Hotel,rest,73.41
Resort Hotel,rest,109.9
Resort Hotel,rest,109.9
Resort Hotel,rest,187.5
Resort Hotel,work,134.0
Resort Hotel,work,91.5
Resort Hotel,work,132.44
Resort Hotel,work+rest,106.9
Resort Hotel,work+rest,131.86
Resort Hotel,rest,216.13
Resort Hotel,work,107.0
Resort Hotel,work,107.0
Resort Hotel,work,107.0
Resort Hotel,work,107.0
Resort Hotel,work,107.0
Resort Hotel,rest,190.33
Resort Hotel,work,107.0
Resort Hotel,work,94.0
Resort Hotel,work,98.75
Resort Hotel,work,148.23
Resort Hotel,work,94.0
Resort Hotel,work,107.0
Resort Hotel,work,107.0
Resort Hotel,work,148.23
Resort Hotel,work,107.0
Resort Hotel,work,107.0
Resort Hotel,work,107.0
Resort Hotel,work,107.0
Resort Hotel,work,98.75
Resort Hotel,work,195.0
Resort Hotel,work,120.6
Resort Hotel,work,123.2
Resort Hotel,work,112.0
Resort Hotel,work,123.2
Resort Hotel,work,169.0
Resort Hotel,work,198.0
Resort Hotel,work,103.5
Resort Hotel,work,135.6
Resort Hotel,work,103.5
Resort Hotel,work,184.0
Resort Hotel,work,134.0
Resort Hotel,work,147.0
Resort Hotel,work,151.33
Resort Hotel,work,121.33
Resort Hotel,work+rest,150.2
Resort Hotel,work+rest,139.0
Resort Hotel,work+rest,150.2
Resort Hotel,work+rest,75.44
Resort Hotel,work+rest,135.0
Resort Hotel,work+rest,166.0
Resort Hotel,work+rest,135.0
Resort Hotel,work+rest,130.0
Resort Hotel,rest,96.3
Resort Hotel,rest,160.0
Resort Hotel,work,127.25
Resort Hotel,work,164.0
Resort Hotel,work,144.5
Resort Hotel,work,112.0
Resort Hotel,work,134.0
Resort Hotel,work,127.25
Resort Hotel,work,155.5
Resort Hotel,work,110.5
Resort Hotel,work,144.5
Resort Hotel,work,144.5
Resort Hotel,work,123.0
Resort Hotel,work,120.6
Resort Hotel,work,107.6
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,133.75
Resort Hotel,work+rest,103.5
Resort Hotel,work+rest,84.8
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,84.8
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,195.0
Resort Hotel,work+rest,164.0
Resort Hotel,work+rest,195.0
Resort Hotel,work+rest,125.0
Resort Hotel,work+rest,195.0
Resort Hotel,work+rest,132.3
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,92.0
Resort Hotel,work+rest,132.3
Resort Hotel,rest,147.0
Resort Hotel,rest,167.0
Resort Hotel,rest,210.0
Resort Hotel,rest,194.9
Resort Hotel,work+rest,103.5
Resort Hotel,work+rest,118.5
Resort Hotel,work+rest,192.0
Resort Hotel,work+rest,128.27
Resort Hotel,work+rest,135.0
Resort Hotel,work+rest,126.3
Resort Hotel,work+rest,154.0
Resort Hotel,work+rest,96.3
Resort Hotel,work+rest,126.3
Resort Hotel,work,136.0
Resort Hotel,work+rest,118.5
Resort Hotel,work+rest,116.33
Resort Hotel,work+rest,164.0
Resort Hotel,work+rest,147.67
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,147.0
Resort Hotel,work+rest,168.3
Resort Hotel,work+rest,167.0
Resort Hotel,work+rest,137.75
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,132.6
Resort Hotel,work+rest,147.0
Resort Hotel,work+rest,157.0
Resort Hotel,work+rest,210.0
Resort Hotel,work+rest,132.5
Resort Hotel,work+rest,98.02
Resort Hotel,work+rest,126.0
Resort Hotel,work,173.0
Resort Hotel,work,249.0
Resort Hotel,work+rest,186.5
Resort Hotel,work+rest,95.0
Resort Hotel,work+rest,241.5
Resort Hotel,work+rest,177.0
Resort Hotel,work+rest,153.73
Resort Hotel,work+rest,115.0
Resort Hotel,work+rest,127.03
Resort Hotel,work+rest,128.25
Resort Hotel,work+rest,128.25
Resort Hotel,work+rest,115.0
Resort Hotel,rest,135.0
Resort Hotel,rest,167.0
Resort Hotel,rest,135.0
Resort Hotel,rest,124.5
Resort Hotel,weekend,98.0
Resort Hotel,weekend,98.0
Resort Hotel,weekend,135.0
Resort Hotel,weekend,88.2
Resort Hotel,weekend,120.6
Resort Hotel,weekend,154.5
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,92.0
Resort Hotel,work+rest,154.0
Resort Hotel,work+rest,115.0
Resort Hotel,work+rest,110.53
Resort Hotel,work+rest,158.5
Resort Hotel,work+rest,131.37
Resort Hotel,work+rest,117.71
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,158.5
Resort Hotel,work+rest,117.84
Resort Hotel,work+rest,154.0
Resort Hotel,work+rest,116.85
Resort Hotel,work+rest,129.16
Resort Hotel,work+rest,214.0
Resort Hotel,work+rest,115.0
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,123.0
Resort Hotel,package,195.0
Resort Hotel,rest,135.2
Resort Hotel,rest,123.0
Resort Hotel,work+rest,130.5
Resort Hotel,weekend,123.0
Resort Hotel,work+rest,179.1
Resort Hotel,work+rest,115.0
Resort Hotel,work+rest,115.0
Resort Hotel,work+rest,103.5
Resort Hotel,work+rest,157.0
Resort Hotel,work+rest,135.0
Resort Hotel,work+rest,111.65
Resort Hotel,work+rest,135.0
Resort Hotel,work+rest,195.0
Resort Hotel,work+rest,104.0
Resort Hotel,work+rest,135.0
Resort Hotel,work+rest,214.0
Resort Hotel,work+rest,133.17
Resort Hotel,work+rest,141.33
Resort Hotel,work+rest,121.01
Resort Hotel,work+rest,240.64
Resort Hotel,work+rest,167.5
Resort Hotel,work+rest,152.43
Resort Hotel,work+rest,148.34
Resort Hotel,work+rest,167.0
Resort Hotel,work+rest,172.93
Resort Hotel,work+rest,179.1
Resort Hotel,work+rest,192.5
Resort Hotel,rest,92.0
Resort Hotel,rest,111.2
Resort Hotel,rest,141.6
Resort Hotel,rest,141.6
Resort Hotel,rest,141.6
Resort Hotel,rest,200.0
Resort Hotel,rest,200.0
Resort Hotel,work,157.0
Resort Hotel,work,99.5
Resort Hotel,work,115.0
Resort Hotel,work,195.0
Resort Hotel,work,103.5
Resort Hotel,work,207.0
Resort Hotel,work+rest,163.33
Resort Hotel,work+rest,151.86
Resort Hotel,work+rest,95.57
Resort Hotel,rest,112.05
Resort Hotel,rest,160.0
Resort Hotel,rest,103.18
Resort Hotel,work,153.0
Resort Hotel,work,119.75
Resort Hotel,work,135.0
Resort Hotel,work,167.69
Resort Hotel,work,195.0
Resort Hotel,work,135.0
Resort Hotel,work+rest,178.4
Resort Hotel,work,154.0
Resort Hotel,work,134.0
Resort Hotel,work,112.0
Resort Hotel,work,194.0
Resort Hotel,work,153.0
Resort Hotel,work,135.0
Resort Hotel,work,184.0
Resort Hotel,work+rest,210.0
Resort Hotel,work+rest,139.0
Resort Hotel,work+rest,101.46
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,173.0
Resort Hotel,rest,217.05
Resort Hotel,work,164.0
Resort Hotel,work,173.0
Resort Hotel,work,112.5
Resort Hotel,work,153.0
Resort Hotel,work,173.0
Resort Hotel,work,153.0
Resort Hotel,work,134.0
Resort Hotel,work,153.0
Resort Hotel,work,233.0
Resort Hotel,work,154.0
Resort Hotel,work,173.0
Resort Hotel,work,135.0
Resort Hotel,work,132.5
Resort Hotel,work+rest,222.67
Resort Hotel,work,135.0
Resort Hotel,work,107.0
Resort Hotel,work+rest,127.0
Resort Hotel,work+rest,135.0
Resort Hotel,work+rest,149.7
Resort Hotel,work+rest,161.25
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,75.44
Resort Hotel,work+rest,75.44
Resort Hotel,work+rest,115.0
Resort Hotel,work+rest,159.2
Resort Hotel,work+rest,163.29
Resort Hotel,rest,210.0
Resort Hotel,rest,154.0
Resort Hotel,rest,166.0
Resort Hotel,rest,132.5
Resort Hotel,rest,107.0
Resort Hotel,rest,121.98
Resort Hotel,work+rest,133.0
Resort Hotel,work,107.0
Resort Hotel,work,117.81
Resort Hotel,work,107.0
Resort Hotel,work,120.6
Resort Hotel,work+rest,147.0
Resort Hotel,work+rest,153.0
Resort Hotel,work+rest,153.0
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,153.0
Resort Hotel,work+rest,118.0
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,135.0
Resort Hotel,work+rest,158.77
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,142.03
Resort Hotel,work+rest,240.0
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,147.0
Resort Hotel,work+rest,176.0
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,166.0
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,147.0
Resort Hotel,work+rest,167.0
Resort Hotel,work+rest,107.2
Resort Hotel,rest,131.63
Resort Hotel,rest,233.05
Resort Hotel,rest,90.12
Resort Hotel,rest,120.6
Resort Hotel,rest,125.0
Resort Hotel,rest,154.0
Resort Hotel,rest,120.6
Resort Hotel,rest,114.25
Resort Hotel,rest,107.0
Resort Hotel,work+rest,88.55
Resort Hotel,work+rest,149.0
Resort Hotel,work+rest,195.0
Resort Hotel,work+rest,164.0
Resort Hotel,work+rest,154.0
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,103.5
Resort Hotel,work+rest,115.0
Resort Hotel,work+rest,95.02
Resort Hotel,work+rest,132.5
Resort Hotel,work+rest,209.0
Resort Hotel,work+rest,95.02
Resort Hotel,work+rest,132.5
Resort Hotel,work+rest,180.0
Resort Hotel,weekend,103.18
Resort Hotel,work+rest,174.01
Resort Hotel,package,133.0
Resort Hotel,package,133.0
Resort Hotel,work+rest,107.2
Resort Hotel,work+rest,210.0
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,195.0
Resort Hotel,work+rest,124.2
Resort Hotel,work+rest,167.0
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,166.0
Resort Hotel,work+rest,115.0
Resort Hotel,work+rest,166.0
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,162.0
Resort Hotel,work+rest,153.0
Resort Hotel,work+rest,133.2
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,167.2
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,130.0
Resort Hotel,work+rest,164.0
Resort Hotel,work+rest,149.0
Resort Hotel,work+rest,154.0
Resort Hotel,work+rest,195.0
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,107.2
Resort Hotel,work+rest,164.0
Resort Hotel,work+rest,183.45
Resort Hotel,work+rest,159.6
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,164.0
Resort Hotel,work+rest,219.43
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,164.0
Resort Hotel,work+rest,107.2
Resort Hotel,work+rest,102.72
Resort Hotel,work,114.85
Resort Hotel,work,114.85
Resort Hotel,work,135.0
Resort Hotel,work,195.0
Resort Hotel,work,173.0
Resort Hotel,work,107.0
Resort Hotel,work,107.0
Resort Hotel,work,164.0
Resort Hotel,work,138.8
Resort Hotel,work,154.0
Resort Hotel,work,135.0
Resort Hotel,work+rest,103.18
Resort Hotel,rest,115.5
Resort Hotel,rest,90.95
Resort Hotel,work,108.54
Resort Hotel,work,146.0
Resort Hotel,work+rest,165.4
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,133.0
Resort Hotel,work+rest,240.0
Resort Hotel,work+rest,157.0
Resort Hotel,work,188.0
Resort Hotel,work+rest,133.0
Resort Hotel,work+rest,145.0
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,134.0
Resort Hotel,work+rest,186.0
Resort Hotel,work+rest,90.95
Resort Hotel,work+rest,141.65
Resort Hotel,work+rest,99.24
Resort Hotel,work+rest,108.06
Resort Hotel,work+rest,90.95
Resort Hotel,rest,148.63
Resort Hotel,work,173.0
Resort Hotel,work,107.0
Resort Hotel,work,114.0
Resort Hotel,work,153.0
Resort Hotel,work,153.0
Resort Hotel,work,250.33
Resort Hotel,work,146.67
Resort Hotel,work,154.0
Resort Hotel,work,120.6
Resort Hotel,work,280.74
Resort Hotel,work+rest,193.0
Resort Hotel,work,146.67
Resort Hotel,work,154.0
Resort Hotel,work+rest,154.5
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,137.8
Resort Hotel,rest,160.0
Resort Hotel,rest,125.89
Resort Hotel,rest,125.89
Resort Hotel,work+rest,126.71
Resort Hotel,work,188.0
Resort Hotel,work,153.0
Resort Hotel,work,173.0
Resort Hotel,work,173.0
Resort Hotel,work,120.0
Resort Hotel,work,154.8
Resort Hotel,work,192.0
Resort Hotel,work,153.0
Resort Hotel,work,120.6
Resort Hotel,work,192.0
Resort Hotel,work,120.6
Resort Hotel,work,164.0
Resort Hotel,work,219.5
Resort Hotel,work,192.5
Resort Hotel,work+rest,149.7
Resort Hotel,work+rest,111.92
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,149.7
Resort Hotel,work+rest,173.0
Resort Hotel,work+rest,112.0
Resort Hotel,work+rest,57.6
Resort Hotel,work+rest,214.0
Resort Hotel,work+rest,172.0
Resort Hotel,work+rest,157.8
Resort Hotel,work+rest,170.33
Resort Hotel,rest,119.25
Resort Hotel,work+rest,96.3
Resort Hotel,work+rest,118.06
Resort Hotel,work+rest,118.06
Resort Hotel,work,154.0
Resort Hotel,work,202.0
Resort Hotel,work,134.0
Resort Hotel,work,202.0
Resort Hotel,work,252.0
Resort Hotel,work,233.0
Resort Hotel,work,211.0
Resort Hotel,work,211.0
Resort Hotel,work+rest,237.0
Resort Hotel,work+rest,188.29
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,177.14
Resort Hotel,work+rest,222.14
Resort Hotel,work+rest,127.82
Resort Hotel,work+rest,194.14
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,144.53
Resort Hotel,work+rest,185.0
Resort Hotel,rest,96.3
Resort Hotel,rest,193.13
Resort Hotel,rest,210.78
Resort Hotel,rest,169.0
Resort Hotel,rest,174.7
Resort Hotel,rest,135.53
Resort Hotel,rest,172.0
Resort Hotel,weekend,144.0
Resort Hotel,weekend,162.5
Resort Hotel,work+rest,209.6
Resort Hotel,work+rest,209.6
Resort Hotel,work+rest,195.5
Resort Hotel,work+rest,186.0
Resort Hotel,work+rest,163.5
Resort Hotel,work+rest,180.28
Resort Hotel,work+rest,174.76
Resort Hotel,package,116.85
Resort Hotel,work+rest,159.0
Resort Hotel,rest,104.55
Resort Hotel,weekend,144.76
Resort Hotel,work+rest,205.0
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,173.0
Resort Hotel,work+rest,220.55
Resort Hotel,work+rest,162.14
Resort Hotel,work+rest,119.7
Resort Hotel,work+rest,77.54
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,153.0
Resort Hotel,work,172.0
Resort Hotel,work,221.0
Resort Hotel,work,153.0
Resort Hotel,work,230.5
Resort Hotel,work,230.5
Resort Hotel,work,211.0
Resort Hotel,work,241.0
Resort Hotel,work+rest,211.0
Resort Hotel,work+rest,90.95
Resort Hotel,work+rest,188.29
Resort Hotel,work+rest,90.95
